year,month,trade_count,unique_bonds,trade_excess_sum_pp,trade_excess_mean_pp,trade_excess_median_pp,exit_trade_count,exit_trade_excess_sum_pp,trade_pnl_sum_pct,benchmark_pnl_sum_pct,daily_strategy_return_sum,daily_benchmark_return_sum,daily_equity_excess_sum,avg_holding_days,entry_count,exit_reason_top,stop_loss_count,rank_sell_count,switch_value_gap_count,max_holding_days_count,worst_trade_cb,worst_trade_excess_pp,best_trade_excess_pp
2020,202001,13,13,-96.534844,-7.425757,-9.874888,0,0.0,-0.4022,0.5631484271,0.0006815264,0.02499801,-0.0243164834,144.6923,13,stop_loss_value_gone:5,7,0,2,5,128074.SZ,-19.769916,38.603368
2020,202002,0,0,0.0,,,0,0.0,0.0,0.0,0.0195968205,0.0358668853,-0.0162700651,,0,,0,0,0,0,,,
2020,202003,1,1,34.14092,34.14092,34.14092,1,-19.252105,0.410573,0.0691637983,-0.0157685773,0.0332196808,-0.0489882585,180.0,1,max_holding_days:1,0,0,0,1,127015.SZ,34.14092,34.14092
2020,202004,3,3,8.146768,2.715589,-1.62084,2,26.850282,0.23109,0.1496223174,0.0167588702,0.0073838725,0.0093749976,143.6667,3,max_holding_days:2,0,0,0,2,123011.SZ,-9.760919,19.528527
2020,202005,14,13,-99.361486,-7.097249,-9.000495,6,-73.849554,0.345992,1.3396068356,-0.0433383512,-0.0528117217,0.0094733706,160.1429,14,max_holding_days:8,1,0,5,8,110062.SH,-16.060484,8.796928
2020,202006,5,5,-60.753958,-12.150792,-7.711684,5,-39.43834,-0.333141,0.2743985769,0.0155415866,0.0233280121,-0.0077864254,127.4,5,stop_loss_value_gone:2,2,0,1,2,128108.SZ,-20.803906,-7.075831
2020,202007,2,2,-8.464692,-4.232346,-4.232346,1,-1.62084,-0.06286,0.0217869284,0.0463677489,0.0785599144,-0.0321921653,103.5,2,stop_loss_switch_value_gap:1,1,0,2,0,113545.SH,-8.761357,0.296665
2020,202008,0,0,0.0,,,0,0.0,0.0,0.0,-0.0062730875,0.0177622455,-0.0240353332,,0,,0,0,0,0,,,
2020,202009,9,7,-72.447991,-8.049777,-10.690394,6,-32.459703,-0.802917,-0.0784370849,-0.0337051884,-0.0699162547,0.0362110664,68.2222,9,stop_loss_switch_value_gap:4,7,0,4,0,127015.SZ,-14.988831,3.542898
2020,202010,10,10,30.299368,3.029937,-3.560047,6,-38.470495,-0.012724,-0.3157176826,0.0053339185,0.0570567147,-0.0517227964,57.5,10,switch_value_gap:4,2,0,5,0,110058.SH,-9.481824,52.989629
2020,202011,14,14,-61.360259,-4.382876,-3.184202,16,-89.222182,-0.846741,-0.2331384205,-0.0337934107,-0.0284800649,-0.0053133457,38.8571,14,switch_value_gap:5,5,0,6,0,127015.SZ,-10.669498,1.011077
2020,202012,19,19,13.919843,0.732623,0.858961,47,-44.953394,0.39739,0.2581916144,0.0167373347,0.0036720322,0.0130653028,4.4737,19,end_of_period:19,0,0,0,0,123076.SZ,-4.108752,5.481429
2024,202401,47,38,18.391127,0.391301,0.267364,17,-33.585551,-1.634838,-1.8187492897,-0.0683765417,-0.0934344433,0.0250579015,69.766,47,switch_value_gap:27,12,0,27,6,123054.SZ,-9.176943,20.518171
2024,202402,9,9,-13.789412,-1.532157,-1.096051,9,29.657291,0.013226,0.1511201267,0.0358706031,0.0337466871,0.002123916,21.8889,9,switch_value_gap:8,1,0,8,0,123203.SZ,-11.257496,8.167373
2024,202403,9,9,26.122603,2.902511,3.091867,19,-12.072852,0.164521,-0.0967050354,-0.003595997,0.0128858819,-0.0164818786,38.5556,9,switch_value_gap:9,0,0,9,0,123147.SZ,-4.02386,9.623108
2024,202404,24,21,-4.977314,-0.207388,1.322035,14,40.169588,0.075633,0.1254061253,0.0153084403,0.006438146,0.0088702944,33.3333,24,switch_value_gap:20,4,0,23,0,113665.SH,-14.287656,6.280573
2024,202405,14,14,-23.928056,-1.709147,-1.424441,14,2.760047,-0.555783,-0.3165024532,0.0033417261,0.0227665301,-0.019424804,34.7857,14,switch_value_gap:9,5,0,12,0,123216.SZ,-8.051896,5.092853
2024,202406,26,20,55.939292,2.151511,1.023907,26,-52.133068,0.18369,-0.375702922,-0.0559399737,-0.047909259,-0.0080307148,39.0,26,switch_value_gap:13,11,0,20,1,110095.SH,-8.467478,23.635205
2024,202407,32,26,-24.281112,-0.758785,-1.362741,32,1.405773,-0.219593,0.0232181439,-0.0387036549,-0.0315100223,-0.0071936324,47.7188,32,switch_value_gap:18,9,0,25,3,123161.SZ,-6.913509,13.464711
2024,202408,23,21,87.686695,3.812465,1.659178,23,-12.277207,1.403933,0.5270660468,-0.0160096073,-0.0154268931,-0.0005827143,30.4783,23,switch_value_gap:19,1,0,20,0,123178.SZ,-5.972048,25.461224
2024,202409,19,18,51.115652,2.690297,1.552805,29,104.377015,1.263398,0.7522414803,0.083537526,0.0664984211,0.0170391051,29.1579,19,switch_value_gap:15,0,0,15,0,113655.SH,-5.084777,16.879322
2024,202410,20,19,-5.79337,-0.289668,-1.721898,10,19.458462,0.251665,0.3095987194,0.0442118105,0.0298894755,0.0143223352,45.9,20,switch_value_gap:12,0,0,12,0,123054.SZ,-6.101072,13.889703
2024,202411,15,13,7.197394,0.479826,-0.088772,15,21.432036,0.210376,0.1384020718,0.02610897,0.0213110774,0.0047978925,22.0667,15,switch_value_gap:11,1,0,12,0,123211.SZ,-14.570787,19.538608
2024,202412,17,15,23.691302,1.393606,0.709874,47,88.183267,0.11535,-0.1215630096,0.0116309516,0.0024683664,0.0091625854,9.4706,17,end_of_period:13,0,0,4,0,118003.SH,-7.429852,23.606262
