field,bin,count,loss_count,loss_rate,pnl_amount,avg_pnl
close_to_bond_floor,<= 1.05,60,11,0.183333,134405.29,2240.09
close_to_bond_floor,"(1.05, 1.2]",268,129,0.481343,299710.99,1118.32
close_to_bond_floor,"(1.2, 1.5]",477,307,0.643606,-181560.79,-380.63
close_to_bond_floor,"(1.5, 2]",104,71,0.682692,-131987.5,-1269.11
close_to_bond_floor,> 2,12,10,0.833333,-45710.34,-3809.2
stock_ret_20d,<= -0.1,184,85,0.461957,136252.39,740.5
stock_ret_20d,"(-0.1, 0]",270,143,0.52963,-51751.51,-191.67
stock_ret_20d,"(0, 0.05]",112,59,0.526786,19835.99,177.11
stock_ret_20d,"(0.05, 0.15]",164,115,0.70122,-84144.05,-513.07
stock_ret_20d,"(0.15, 0.3]",115,73,0.634783,58422.21,508.02
stock_ret_20d,> 0.3,76,53,0.697368,-3757.38,-49.44
stock_vol_60d,"(0.15, 0.3]",84,49,0.583333,-43965.4,-523.4
stock_vol_60d,"(0.3, 0.5]",446,258,0.578475,162626.77,364.63
stock_vol_60d,"(0.5, 0.8]",355,200,0.56338,-44041.92,-124.06
stock_vol_60d,> 0.8,36,21,0.583333,238.2,6.62
sigma_ratio_20_60,<= 0.6,72,29,0.402778,41097.2,570.79
sigma_ratio_20_60,"(0.6, 0.8]",164,105,0.640244,-82353.25,-502.15
sigma_ratio_20_60,"(0.8, 1]",230,124,0.53913,8634.81,37.54
sigma_ratio_20_60,"(1, 1.3]",317,184,0.580442,88289.47,278.52
sigma_ratio_20_60,> 1.3,138,86,0.623188,19189.42,139.05
years_to_maturity,<= 1,19,10,0.526316,8214.58,432.35
years_to_maturity,"(1, 1.5]",48,32,0.666667,-6064.29,-126.34
years_to_maturity,"(1.5, 3]",202,128,0.633663,77696.0,384.63
years_to_maturity,"(3, 5]",382,223,0.58377,-50577.04,-132.4
years_to_maturity,> 5,270,135,0.5,45588.4,168.85
moneyness_stock_to_conv,<= 0.8,71,24,0.338028,92988.37,1309.7
moneyness_stock_to_conv,"(0.8, 1]",131,56,0.427481,144857.24,1105.78
moneyness_stock_to_conv,"(1, 1.3]",277,151,0.545126,165504.74,597.49
moneyness_stock_to_conv,"(1.3, 1.6]",258,163,0.631783,-47509.29,-184.14
moneyness_stock_to_conv,> 1.6,184,134,0.728261,-280983.41,-1527.08
