cb_code,cb_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,holding_days,exit_reason,entry_gap_amount,entry_gap_pct,year,source,bond_share,option_share,close_to_bond_floor,entry_regime,entry_panic,stk_code,stock_ret_5d,stock_ret_20d,stock_ret_60d,stock_vol_20d,stock_vol_60d,sigma_ratio_20_60,years_to_maturity,moneyness_stock_to_conv,rating,flag_strong_stock_ret20,flag_far_from_bond_floor,flag_high_vol60,flag_short_vol_below_long,flag_long_maturity,flag_hot_option_setup,flag_hot_trend_sigma_setup
113020.SH,桐昆转债,20190102,20190104,99.58,100.6,0.00661,197.81,2,switch_value_gap,4693.68,0.156456,2019,option,0.026934,0.973066,0.9958,weak,False,601233,-0.07415,-0.153484,-0.373955,0.322922,0.478434,0.674956,1.902806,0.711797,AA+,0,0,1,1,1,0,0
128026.SZ,众兴转债,20190102,20190108,87.1,88.9,0.016977,508.11,6,switch_value_gap,5116.77,0.170559,2019,option,0.0,1.0,1.014865,weak,False,002772,-0.023091,-0.101307,-0.081803,0.208437,0.351253,0.59341,4.944559,0.628571,AA-,0,0,1,1,1,0,0
128048.SZ,张行转债,20190102,20190109,98.8,103.0,0.038761,1158.61,7,switch_value_gap,4409.52,0.146984,2019,option,0.0,1.0,1.12478,weak,False,002839,-0.039437,-0.114286,-0.039437,0.252583,0.521223,0.484598,5.861739,0.562706,AA+,0,0,1,1,1,0,0
123017.SZ,寒锐转债,20190102,20190111,96.2,98.301,0.018163,542.64,9,switch_value_gap,5098.57,0.169952,2019,option,0.0,1.0,1.020188,weak,False,300618,-0.053625,-0.082387,-0.365248,0.340742,0.627788,0.542767,2.146475,0.615045,AA-,0,0,1,1,1,0,0
110043.SH,无锡转债,20190102,20190118,97.21,98.8,0.012695,379.55,16,switch_value_gap,4675.81,0.15586,2019,option,0.0,1.0,1.095656,weak,False,600908,-0.026634,-0.096629,-0.086364,0.188481,0.417291,0.451679,5.075975,0.673367,AA+,0,0,1,1,1,0,0
127005.SZ,长证转债,20190102,20190121,98.5,102.7,0.03889,1162.77,19,switch_value_gap,4717.43,0.157248,2019,option,0.0,1.0,1.086195,weak,False,000783,-0.024831,-0.123732,0.028571,0.298288,0.512264,0.582292,5.190965,0.568421,AAA,0,0,1,1,1,0,0
123002.SZ,国祯转债,20190111,20190122,107.3,107.087,-0.005601,-174.6,11,switch_value_gap,4491.52,0.149717,2019,option,0.0,1.0,1.228071,neutral,False,300388,0.010243,-0.033088,0.230889,0.191013,0.386987,0.49359,4.867899,0.904817,AA,0,0,1,1,1,0,0
110045.SH,海澜转债,20190102,20190124,98.3,100.21,0.015757,471.71,22,switch_value_gap,6103.67,0.203456,2019,option,0.0,1.0,1.114459,weak,False,600398,-0.036907,-0.021429,-0.169697,0.234275,0.428357,0.546916,5.251198,0.750685,AA+,0,0,1,1,1,0,0
113020.SH,桐昆转债,20190118,20190129,103.02,105.82,0.023486,732.02,11,switch_value_gap,3631.68,0.121056,2019,option,0.0,1.0,1.0302,neutral,False,601233,0.037113,0.015136,-0.12825,0.302068,0.402395,0.750676,1.859001,0.796516,AA+,0,0,1,1,1,0,0
110050.SH,佳都转债,20190122,20190219,105.23,119.11,0.127831,10066.48,28,switch_value_gap,15211.21,0.19014,2019,option,0.0,1.0,1.0523,strong,False,600728,0.069577,0.126437,0.322091,0.421875,0.481843,0.875544,1.212868,0.986164,AA,1,0,1,0,0,0,0
113519.SH,长久转债,20190102,20190222,98.65,108.0,0.090817,2719.53,51,switch_value_gap,8846.9,0.294897,2019,option,0.0,1.0,1.145097,weak,False,603569,-0.0125,-0.109859,-0.191816,0.298584,0.516473,0.578122,5.848049,0.790659,AA,0,0,1,1,1,0,0
127008.SZ,特发转债,20190102,20190225,104.25,225.5,1.155295,34507.72,54,value_repaired,7142.38,0.238079,2019,option,0.0,1.0,1.098269,weak,False,000070,0.091525,0.03537,0.139823,0.48254,0.527913,0.914052,2.171116,0.949853,AA,0,0,1,0,1,0,0
128033.SZ,迪龙转债,20190225,20190226,100.6,101.6,0.006303,405.29,1,switch_value_gap,8681.45,0.108518,2019,option,0.0,1.0,1.149971,strong,False,002658,0.055932,0.102655,0.001608,0.529935,0.419615,1.262906,4.835044,0.689922,AA,1,0,1,0,1,0,0
128032.SZ,双环转债,20190102,20190227,91.001,100.0,0.094922,2838.38,56,switch_value_gap,5454.13,0.181804,2019,option,0.164025,0.835975,0.970986,weak,False,002472,-0.059028,-0.142405,-0.155763,0.404868,0.56344,0.718563,2.568104,0.538232,AA,0,0,1,1,1,0,0
113527.SH,维格转债,20190219,20190304,106.13,108.25,0.016308,1420.03,13,switch_value_gap,9053.05,0.113163,2019,option,0.0,1.0,1.228138,strong,False,603518,0.037234,-0.004086,-0.125561,0.203668,0.234947,0.86687,5.930185,0.989848,AA,0,0,0,0,1,0,0
128040.SZ,华通转债,20190227,20190307,99.2,104.0,0.044614,1463.11,8,switch_value_gap,11514.24,0.143928,2019,option,0.0,1.0,1.09109,strong,False,002758,0.266955,0.342508,0.266955,0.483717,0.374491,1.291666,4.005476,0.766812,AA,1,0,1,0,1,0,0
113524.SH,奇精转债,20190107,20190311,95.92,110.0,0.142665,4373.18,63,switch_value_gap,8206.16,0.273539,2019,option,0.0,1.0,1.15107,neutral,False,603677,-0.003342,-0.017298,-0.057662,0.399968,0.458604,0.872142,5.935661,0.808266,AA-,0,0,1,0,1,0,0
123003.SZ,蓝思转债,20190222,20190312,98.156,104.89,0.064764,2228.94,18,switch_value_gap,9393.29,0.117416,2019,option,0.159797,0.840203,0.98156,strong,False,300433,0.158371,0.27787,0.039242,0.697171,0.493233,1.413471,0.966461,0.734226,AA+,1,0,1,0,0,0,0
113502.SH,嘉澳转债,20190129,20190314,92.21,98.99,0.069651,2226.21,44,switch_value_gap,9971.09,0.124639,2019,option,0.0,1.0,1.029461,strong,False,603822,0.17608,0.255319,0.306876,0.384873,0.389062,0.989233,3.649555,0.622691,AA-,1,0,1,0,1,0,0
123007.SZ,道氏转债,20190102,20190315,95.544,139.72,0.457097,13694.3,72,switch_value_gap,8770.43,0.292348,2019,option,0.0,1.0,1.031598,weak,False,300409,-0.104433,-0.191864,-0.196765,0.341913,0.606919,0.563359,2.61191,0.784211,AA-,0,0,1,1,1,0,0
127005.SZ,长证转债,20190306,20190322,118.0,118.22,-0.001737,-73.9,16,switch_value_gap,8330.68,0.104134,2019,option,0.0,1.0,1.294378,strong,False,000783,0.055105,0.449889,0.320487,0.560377,0.461344,1.214662,5.01848,0.856579,AAA,1,0,1,0,1,0,0
123012.SZ,万顺转债,20190102,20190329,93.41,122.73,0.309156,9257.73,86,switch_value_gap,5243.76,0.174792,2019,option,0.0,1.0,1.103168,weak,False,300057,-0.061776,-0.083019,0.031847,0.355694,0.349827,1.01677,5.546886,0.751159,AA-,0,0,1,0,1,0,0
