candidate,leave_year,year,date,equity,strategy_return,benchmark_return,daily_excess,lookback_excess,risk_state
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190102,999730.576124,0.0,0.0,0.0,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190103,1002128.652124,0.0023987223,0.0018627574,0.0005359648,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190104,1011222.276945,0.0090743088,0.0086995243,0.0003747845,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190107,1024683.277625,0.0133116141,0.0119718229,0.0013397911,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190108,1026303.0269,0.0015807316,0.0022453945,-0.0006646628,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190109,1034183.461662,0.0076784678,0.0060829197,0.0015955481,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190110,1038359.108662,0.0040376269,0.0023822671,0.0016553598,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190111,1041379.678888,0.0029089842,0.0036809028,-0.0007719186,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190114,1039310.747888,-0.0019867211,-0.0029966846,0.0010099635,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190115,1042966.940888,0.0035179017,0.0051673985,-0.0016494968,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190116,1045564.423888,0.0024904749,0.0014760587,0.0010144162,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190117,1042286.563888,-0.0031350149,-0.0031650293,3.00144e-05,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190118,1041309.20325,-0.0009377082,0.0030861332,-0.0040238413,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190121,1042394.172464,0.001041928,0.0032474651,-0.0022055371,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190122,1039372.658157,-0.0028986293,-0.0033828641,0.0004842348,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190123,1040652.507157,0.0012313668,0.0009860689,0.000245298,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190124,1047056.602502,0.0061539229,0.0054756707,0.0006782522,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190125,1052803.521502,0.0054886421,0.0047803584,0.0007082837,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190128,1044965.527502,-0.0074448782,-0.0040931444,-0.0033517338,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190129,1038564.59674,-0.0061254947,-0.0044168439,-0.0017086508,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190130,1034064.26074,-0.0043332269,-0.0013131022,-0.0030201247,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190131,1029599.68774,-0.0043175005,-0.000436344,-0.0038811565,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190201,1040902.10874,0.0109774907,0.0118287426,-0.0008512519,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190211,1052316.33674,0.0109657074,0.0093177651,0.0016479423,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190212,1060841.05674,0.0081009101,0.0060659149,0.0020349951,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190213,1071532.89274,0.0100786408,0.0092428689,0.000835772,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190214,1079499.15874,0.0074344577,0.004409997,0.0030244608,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190215,1076330.01574,-0.0029357531,-0.0033175474,0.0003817943,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190218,1093658.64274,0.016099734,0.0169629525,-0.0008632185,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190219,1092203.349959,-0.0013306645,-0.0048801903,0.0035495258,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190220,1100642.089959,0.0077263451,0.0031036937,0.0046226514,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190221,1108084.039959,0.0067614623,0.0051637135,0.0015977488,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190222,1122656.318379,0.0131508784,0.0136132252,-0.0004623468,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190225,1160622.714089,0.0338183602,0.0298023015,0.0040160587,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190226,1163367.644962,0.0023650501,-0.0088913207,0.0112563708,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190227,1170020.547642,0.0057186589,-0.0033040673,0.0090227261,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190228,1171911.953642,0.0016165579,0.0017672618,-0.0001507039,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190301,1164325.239642,-0.0064737918,0.0033010017,-0.0097747935,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190304,1186374.962427,0.0189377693,0.0122676609,0.0066701084,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190305,1215285.200427,0.0243685503,0.017555895,0.0068126554,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190306,1227738.354462,0.0102471042,0.0108319717,-0.0005848675,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190307,1228399.478742,0.0005384896,0.0003568913,0.0001815982,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190308,1193908.690742,-0.028077827,-0.0220978141,-0.0059800129,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190311,1221420.727662,0.0230436692,0.0227055824,0.0003380868,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190312,1239445.697647,0.0147573801,0.0127808147,0.0019765654,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190313,1223876.445907,-0.0125614634,-0.0109500078,-0.0016114556,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190314,1195411.120657,-0.0232583324,-0.0204791816,-0.0027791509,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190315,1208116.385841,0.0106283646,0.0113811175,-0.000752753,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190318,1235494.303632,0.0226616559,0.0189319618,0.003729694,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190319,1256628.798632,0.0171061048,0.0072841507,0.0098219541,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190320,1259188.258632,0.0020367669,-0.0064619997,0.0084987666,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190321,1284107.480632,0.0197899098,0.0121186896,0.0076712201,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190322,1286331.495668,0.001731954,-0.0020833537,0.0038153077,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190325,1265853.398668,-0.0159197665,-0.010284773,-0.0056349935,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190326,1224150.979715,-0.0329441142,-0.0224468065,-0.0104973077,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190327,1228228.576969,0.0033309594,0.0036101323,-0.0002791729,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190328,1220088.377969,-0.0066275929,-0.0052033101,-0.0014242828,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190329,1244836.003896,0.0202834699,0.0181491295,0.0021343404,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190401,1291001.327484,0.0370854662,0.0280777329,0.0090077333,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190402,1302261.613484,0.0087221336,0.0035243164,0.0051978172,,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190403,1310669.018484,0.0064560031,0.003244183,0.00321182,0.0545943708,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190404,1322227.790484,0.0088189862,0.006805693,0.0020132932,0.0578061909,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190408,1312923.404173,-0.0070369012,-0.0023946005,-0.0046423007,0.0592835192,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190409,1302109.333173,-0.0082366351,-0.008216877,-1.97581e-05,0.054266434,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190410,1292427.232173,-0.0074357051,-0.0061581431,-0.001277562,0.0529068849,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190411,1273098.849173,-0.0149551035,-0.0148669737,-8.81298e-05,0.0522939857,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190412,1293029.821972,0.0156554794,0.002234371,0.0134211084,0.0506103078,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190415,1288132.661659,-0.003787353,-0.0076287384,0.0038413854,0.0623760564,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190416,1310509.066301,0.0173711958,0.006379241,0.0109919548,0.0669893604,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190417,1339105.706532,0.0218210167,0.0058951021,0.0159259146,0.0769713517,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190418,1343565.945633,0.0033307595,-0.0019976238,0.0053283833,0.0945467631,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190419,1347524.050233,0.0029459697,0.0024300655,0.0005159043,0.0988607302,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190422,1343611.398233,-0.002903586,-0.004725945,0.001822359,0.0993466201,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190423,1327822.614929,-0.0117510043,-0.015653738,0.0039027337,0.1051928204,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190424,1321991.235059,-0.0043916859,-0.0035865457,-0.0008051402,0.1113010911,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190425,1291427.900051,-0.0231191661,-0.0184757953,-0.0046433708,0.1100117162,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190426,1278414.762451,-0.0100765498,-0.0072643031,-0.0028122467,0.1051230474,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190429,1244782.556133,-0.0263077425,-0.0199679064,-0.0063398361,0.1016325484,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190430,1247803.255813,0.0024266886,0.0061097669,-0.0036830782,0.0945844286,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190506,1203721.717904,-0.0353273144,-0.0341798327,-0.0011474817,0.0942530842,0
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190507,1208831.241285,0.0042447713,0.0039222323,0.000322539,0.0948142533,0
