name,kind,regime_lookback_days,regime_risk_threshold,regime_risk_recovery_days,regime_risk_switch_hurdle_pct,y2019_excess,y2019_total,y2019_dd,y2019_trades,y2019_risk_days,y2020_excess,y2020_total,y2020_dd,y2020_trades,y2020_risk_days,y2021_excess,y2021_total,y2021_dd,y2021_trades,y2021_risk_days,y2022_excess,y2022_total,y2022_dd,y2022_trades,y2022_risk_days,y2023_excess,y2023_total,y2023_dd,y2023_trades,y2023_risk_days,y2024_excess,y2024_total,y2024_dd,y2024_trades,y2024_risk_days,main_floor_pass_count,passes_main_floors,params_json,leave_year,selection_avg_excess,selection_avg_abs_dd,selection_score,replay_2019_excess,replay_2019_total,replay_2019_trades,rank,selected_for_leave,holdout_baseline_excess,holdout_improved_or_equal,replay_2020_excess,replay_2020_total,replay_2020_trades,replay_2021_excess,replay_2021_total,replay_2021_trades,replay_2022_excess,replay_2022_total,replay_2022_trades,replay_2023_excess,replay_2023_total,replay_2023_trades,replay_2024_excess,replay_2024_total,replay_2024_trades
selfpnl_lb60_thr0p01_rec1_h0p05,candidate,60,0.01,1,0.05,0.140524,0.347889,-0.107732,150,78,-0.142468,-0.038301,-0.145226,79,182,-0.033183,0.088515,-0.088886,135,151,0.036147,-0.125874,-0.156165,159,101,-0.027026,-0.054646,-0.140075,151,133,0.028741,0.024383,-0.152359,250,110,3,0,"{""name"": ""selfpnl_lb60_thr0p01_rec1_h0p05"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.01}",2019,-0.027558,0.136542,-0.100493,0.140524,0.347889,150,1,1,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thr0p01_rec1_h0p1,candidate,60,0.01,1,0.1,0.10713,0.314495,-0.107732,153,78,-0.142934,-0.038767,-0.144576,77,182,-0.034405,0.087294,-0.088886,119,151,0.030552,-0.131469,-0.160711,160,101,-0.028582,-0.056202,-0.141922,140,133,0.051334,0.046975,-0.156197,230,110,1,0,"{""name"": ""selfpnl_lb60_thr0p01_rec1_h0p1"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.01}",2019,-0.024807,0.138458,-0.119972,0.10713,0.314495,153,2,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p01_rec2_h0p1,candidate,10,-0.01,2,0.1,0.151782,0.359148,-0.107901,151,20,-0.145713,-0.041547,-0.151336,90,89,0.018126,0.139824,-0.102856,111,67,0.043483,-0.118538,-0.158571,189,54,-0.025903,-0.053523,-0.139241,156,46,0.015595,0.011237,-0.162774,245,41,3,0,"{""name"": ""selfpnl_lb10_thrm0p01_rec2_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.01}",2019,-0.018882,0.142956,-0.125871,0.151782,0.359148,151,3,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p01_rec3_h0p1,candidate,10,-0.01,3,0.1,0.151758,0.359123,-0.10722,151,20,-0.145696,-0.041529,-0.151336,89,89,-0.007706,0.113992,-0.088886,108,67,0.038189,-0.123832,-0.160035,170,54,-0.025293,-0.052913,-0.138685,155,46,0.033942,0.029584,-0.159382,235,41,3,0,"{""name"": ""selfpnl_lb10_thrm0p01_rec3_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.01}",2019,-0.021313,0.139665,-0.127309,0.151758,0.359123,151,4,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thrm0p01_rec2_h0p05,candidate,60,-0.01,2,0.05,0.152012,0.359378,-0.107737,152,33,-0.140401,-0.036234,-0.144266,79,156,-0.035897,0.085801,-0.088886,135,124,0.027581,-0.13444,-0.163146,189,70,-0.029889,-0.057509,-0.141391,160,78,0.036235,0.031877,-0.164068,254,81,0,0,"{""name"": ""selfpnl_lb60_thrm0p01_rec2_h0p05"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": -0.01}",2019,-0.028474,0.140351,-0.139872,0.152012,0.359378,152,5,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thrm0p01_rec3_h0p05,candidate,60,-0.01,3,0.05,0.152012,0.359378,-0.107737,152,33,-0.140401,-0.036234,-0.144266,79,156,-0.035897,0.085801,-0.088886,135,124,0.027581,-0.13444,-0.163146,189,70,-0.029889,-0.057509,-0.141391,160,78,0.036235,0.031877,-0.164068,254,81,0,0,"{""name"": ""selfpnl_lb60_thrm0p01_rec3_h0p05"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": -0.01}",2019,-0.028474,0.140351,-0.139872,0.152012,0.359378,152,6,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thr0p01_rec1_h0p08,candidate,60,0.01,1,0.08,0.139387,0.346753,-0.107732,149,78,-0.146805,-0.042638,-0.148382,78,182,-0.029511,0.092188,-0.088886,112,151,0.03677,-0.125251,-0.156634,157,101,-0.025765,-0.053385,-0.139977,143,133,0.046632,0.042274,-0.149493,235,110,3,0,"{""name"": ""selfpnl_lb60_thr0p01_rec1_h0p08"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": 0.01}",2019,-0.023736,0.136674,-0.140074,0.139387,0.346753,149,7,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thr0p01_rec2_h0p05,candidate,60,0.01,2,0.05,0.122496,0.329862,-0.107723,158,78,-0.142468,-0.038301,-0.145226,79,182,-0.033183,0.088515,-0.088886,135,151,0.036147,-0.125874,-0.156165,159,101,-0.03216,-0.05978,-0.139949,149,133,0.034769,0.030411,-0.152286,249,110,2,0,"{""name"": ""selfpnl_lb60_thr0p01_rec2_h0p05"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.01}",2019,-0.027379,0.136502,-0.144465,0.122496,0.329862,158,8,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p02_rec3_h0p08,candidate,10,-0.02,3,0.08,0.15148,0.358846,-0.10789,174,2,-0.145867,-0.0417,-0.151539,87,50,-0.008953,0.112746,-0.088886,121,25,0.033573,-0.128448,-0.160221,196,28,-0.029457,-0.057077,-0.141674,168,2,0.036412,0.032054,-0.165749,259,5,2,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec3_h0p08"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.02}",2019,-0.022858,0.141614,-0.148182,0.15148,0.358846,174,9,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p01_rec1_h0p1,candidate,10,-0.01,1,0.1,0.152537,0.359903,-0.107432,151,20,-0.145867,-0.0417,-0.151539,87,89,0.004012,0.12571,-0.091064,136,67,0.030165,-0.131857,-0.160666,196,54,-0.029342,-0.056962,-0.142325,158,46,0.015248,0.01089,-0.162259,247,41,2,0,"{""name"": ""selfpnl_lb10_thrm0p01_rec1_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.01}",2019,-0.025157,0.141571,-0.149319,0.152537,0.359903,151,10,0,0.161312,0,,,,,,,,,,,,,,,
