name,kind,leave_year,y2019_excess,y2019_total,y2019_dd,y2019_trades,y2020_excess,y2020_total,y2020_dd,y2020_trades,y2021_excess,y2021_total,y2021_dd,y2021_trades,y2022_excess,y2022_total,y2022_dd,y2022_trades,y2023_excess,y2023_total,y2023_dd,y2023_trades,y2024_excess,y2024_total,y2024_dd,y2024_trades,selection_avg_excess,replay_2019_excess,replay_2020_excess,replay_2021_excess,replay_2022_excess,replay_2023_excess,replay_2024_excess,regime_lookback_days,regime_risk_threshold,regime_risk_recovery_days,regime_risk_switch_hurdle_pct,y2019_risk_days,y2020_risk_days,y2021_risk_days,y2022_risk_days,y2023_risk_days,y2024_risk_days,main_floor_pass_count,passes_main_floors,params_json,selected_passes,selected_total,adoption_pass
medium_baseline,baseline,2019,0.161312,0.368678,-0.107537,140,-0.130604,-0.026438,-0.131274,90,-0.050441,0.071257,-0.083862,116,0.014425,-0.147596,-0.174975,149,-0.031027,-0.058647,-0.14319,166,0.030085,0.025727,-0.170346,255,-0.033512,0.161312,,,,,,,,,,,,,,,,,,,,,
medium_baseline,baseline,2020,0.161312,0.368678,-0.107537,140,-0.130604,-0.026438,-0.131274,90,-0.050441,0.071257,-0.083862,116,0.014425,-0.147596,-0.174975,149,-0.031027,-0.058647,-0.14319,166,0.030085,0.025727,-0.170346,255,0.024871,,-0.130604,,,,,,,,,,,,,,,,,,,,
medium_baseline,baseline,2021,0.161312,0.368678,-0.107537,140,-0.130604,-0.026438,-0.131274,90,-0.050441,0.071257,-0.083862,116,0.014425,-0.147596,-0.174975,149,-0.031027,-0.058647,-0.14319,166,0.030085,0.025727,-0.170346,255,0.008838,,,-0.050441,,,,,,,,,,,,,,,,,,,
medium_baseline,baseline,2022,0.161312,0.368678,-0.107537,140,-0.130604,-0.026438,-0.131274,90,-0.050441,0.071257,-0.083862,116,0.014425,-0.147596,-0.174975,149,-0.031027,-0.058647,-0.14319,166,0.030085,0.025727,-0.170346,255,-0.004135,,,,0.014425,,,,,,,,,,,,,,,,,,
medium_baseline,baseline,2023,0.161312,0.368678,-0.107537,140,-0.130604,-0.026438,-0.131274,90,-0.050441,0.071257,-0.083862,116,0.014425,-0.147596,-0.174975,149,-0.031027,-0.058647,-0.14319,166,0.030085,0.025727,-0.170346,255,0.004955,,,,,-0.031027,,,,,,,,,,,,,,,,,
medium_baseline,baseline,2024,0.161312,0.368678,-0.107537,140,-0.130604,-0.026438,-0.131274,90,-0.050441,0.071257,-0.083862,116,0.014425,-0.147596,-0.174975,149,-0.031027,-0.058647,-0.14319,166,0.030085,0.025727,-0.170346,255,-0.007267,,,,,,0.030085,,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p02_rec1_h0p05,candidate,,0.152012,0.359378,-0.107737,152,-0.227772,-0.123606,-0.203663,95,-0.03497,0.086729,-0.088886,150,0.03251,-0.129511,-0.15744,202,-0.028004,-0.055624,-0.140374,167,0.037193,0.032835,-0.165164,260,,,,,,,,10,-0.02,1,0.05,2,50,25,28,2,5,1,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec1_h0p05"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": -0.02}",,,
selfpnl_lb10_thrm0p02_rec1_h0p08,candidate,,0.156495,0.363861,-0.107195,152,-0.227772,-0.123606,-0.203663,95,-0.026418,0.09528,-0.088886,145,0.034238,-0.127783,-0.156275,202,-0.028004,-0.055624,-0.140374,167,0.036094,0.031736,-0.16574,259,,,,,,,,10,-0.02,1,0.08,2,50,25,28,2,5,2,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec1_h0p08"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.02}",,,
selfpnl_lb10_thrm0p02_rec1_h0p1,candidate,,0.156495,0.363861,-0.107195,152,-0.226666,-0.122499,-0.202703,97,-0.007329,0.11437,-0.088886,132,0.032802,-0.129219,-0.157156,202,-0.026689,-0.054309,-0.139186,166,0.036094,0.031736,-0.16574,259,,,,,,,,10,-0.02,1,0.1,2,50,25,28,2,5,3,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec1_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.02}",,,
selfpnl_lb10_thrm0p02_rec2_h0p05,candidate,,0.152012,0.359378,-0.107737,152,-0.21842,-0.114253,-0.195906,89,-0.027281,0.094417,-0.088886,151,0.024561,-0.13746,-0.166065,200,-0.027978,-0.055598,-0.140349,166,0.037193,0.032835,-0.165164,260,,,,,,,,10,-0.02,2,0.05,2,50,25,28,2,5,1,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec2_h0p05"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": -0.02}",,,
selfpnl_lb10_thrm0p02_rec2_h0p08,candidate,,0.15148,0.358846,-0.10789,174,-0.145867,-0.0417,-0.151539,87,-0.024242,0.097456,-0.088886,145,0.024959,-0.137062,-0.165681,200,-0.027978,-0.055598,-0.140349,166,0.036094,0.031736,-0.16574,259,,,,,,,,10,-0.02,2,0.08,2,50,25,28,2,5,1,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec2_h0p08"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.02}",,,
selfpnl_lb10_thrm0p02_rec2_h0p1,candidate,,0.15148,0.358846,-0.10789,174,-0.145867,-0.0417,-0.151539,87,-0.001339,0.120359,-0.088886,145,0.023105,-0.138916,-0.167477,200,-0.027696,-0.055315,-0.140083,166,0.036094,0.031736,-0.16574,259,,,,,,,,10,-0.02,2,0.1,2,50,25,28,2,5,2,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec2_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.02}",,,
