candidate,leave_year,year,cb_code,cb_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,holding_days,exit_reason,entry_gap_amount,entry_gap_pct
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,113020.SH,桐昆转债,20190102,20190104,99.58,100.6,0.010243,288.94,2,switch_value_gap,4693.68,0.156456
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,128026.SZ,众兴转债,20190102,20190108,87.1,88.9,0.020666,601.04,6,switch_value_gap,5116.77,0.170559
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,128048.SZ,张行转债,20190102,20190109,98.8,103.0,0.04251,1254.26,7,switch_value_gap,4409.52,0.146984
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,123017.SZ,寒锐转债,20190102,20190111,96.2,98.301,0.02184,635.26,9,switch_value_gap,5098.57,0.169952
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,110043.SH,无锡转债,20190102,20190118,97.21,98.8,0.016356,471.61,16,switch_value_gap,4675.81,0.15586
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,127005.SZ,长证转债,20190102,20190121,98.5,102.7,0.04264,1258.45,19,switch_value_gap,4717.43,0.157248
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,123002.SZ,国祯转债,20190111,20190122,107.3,107.087,-0.001985,-80.7,11,switch_value_gap,4491.52,0.149717
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,110045.SH,海澜转债,20190102,20190124,98.3,100.21,0.01943,564.39,22,switch_value_gap,6103.67,0.203456
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,113020.SH,桐昆转债,20190118,20190129,103.02,105.82,0.027179,829.42,11,switch_value_gap,3631.68,0.121056
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,110050.SH,佳都转债,20190122,20190219,105.23,119.11,0.131902,10331.9,28,switch_value_gap,15211.21,0.19014
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,113519.SH,长久转债,20190102,20190222,98.65,108.0,0.09478,2814.27,51,switch_value_gap,8846.9,0.294897
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,127008.SZ,特发转债,20190102,20190225,104.25,225.5,1.16307,34770.36,54,value_repaired,7142.38,0.238079
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,128033.SZ,迪龙转债,20190225,20190226,100.6,101.6,0.00994,604.0,1,switch_value_gap,8681.45,0.108518
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,128032.SZ,双环转债,20190102,20190227,91.001,100.0,0.098889,2941.82,56,switch_value_gap,5454.13,0.181804
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,113527.SH,维格转债,20190219,20190304,106.13,108.25,0.019976,1691.83,13,switch_value_gap,9053.05,0.113163
