name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
buy_anchor_15,恐慌日只允许债底上方15%以内的期权型候选买入/换仓,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.15, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.7005,0.348235,-0.127131,0.6261,238,323,0.316452
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.675873,0.323608,-0.13075,0.5933,300,323,0.290921
buy_anchor_10,恐慌日只允许债底上方10%以内的期权型候选买入/换仓,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.654548,0.302283,-0.120572,0.6511,235,323,0.27214
sell_anchor_05,恐慌日持仓也必须在债底上方5%以内，否则卖出,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_anchor_sell_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.56272,0.210455,-0.142782,0.5188,532,323,0.17476
sell_anchor_15,恐慌日持仓也必须在债底上方15%以内，否则卖出,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_anchor_sell_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.15, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.545171,0.192906,-0.128314,0.5294,510,323,0.160827
sell_anchor_10,恐慌日持仓也必须在债底上方10%以内，否则卖出,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_anchor_sell_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.509181,0.156916,-0.132197,0.53,517,323,0.123867
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.246944,-0.02537,-0.340963,0.4499,929,1456,-0.110611
buy_anchor_10,恐慌日只允许债底上方10%以内的期权型候选买入/换仓,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.232978,-0.039336,-0.327855,0.4496,972,1456,-0.1213
buy_anchor_15,恐慌日只允许债底上方15%以内的期权型候选买入/换仓,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.15, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.199185,-0.07313,-0.357016,0.4442,959,1456,-0.162384
sell_anchor_15,恐慌日持仓也必须在债底上方15%以内，否则卖出,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_anchor_sell_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.15, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.182571,-0.089744,-0.383556,0.4228,1989,1456,-0.185633
sell_anchor_10,恐慌日持仓也必须在债底上方10%以内，否则卖出,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_anchor_sell_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.06306,-0.335375,-0.432438,0.4109,2346,1456,-0.443484
sell_anchor_05,恐慌日持仓也必须在债底上方5%以内，否则卖出,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_anchor_sell_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.252988,-0.525302,-0.517476,0.4023,2600,1456,-0.654671
