name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.375037,0.167671,-0.108505,0.6389,144,244,0.140545
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.099314,-0.203481,-0.182899,0.3265,98,243,-0.249206
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.054682,-0.067016,-0.082166,0.5914,93,243,-0.087558
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.151727,0.010294,-0.180185,0.3063,160,242,-0.034752
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.066836,-0.039217,-0.142092,0.3526,156,242,-0.07474
buy_anchor_05,恐慌日只允许债底上方5%以内的期权型候选买入/换仓,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.05, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.006993,-0.002635,-0.178812,0.4367,245,242,-0.047338
buy_anchor_10,恐慌日只允许债底上方10%以内的期权型候选买入/换仓,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.375037,0.167671,-0.108505,0.6389,144,244,0.140545
buy_anchor_10,恐慌日只允许债底上方10%以内的期权型候选买入/换仓,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.096543,-0.20071,-0.179826,0.2976,84,243,-0.245667
buy_anchor_10,恐慌日只允许债底上方10%以内的期权型候选买入/换仓,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.058463,-0.063235,-0.089016,0.562,121,243,-0.085489
buy_anchor_10,恐慌日只允许债底上方10%以内的期权型候选买入/换仓,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_option_bond_anchor_enabled"": 1.0, ""panic_option_bond_floor_buffer"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.14523,0.016791,-0.173512,0.3313,166,242,-0.026587
