name,description,period,start,end,overrides_json,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,stop_signal_threshold,cost_model_enabled,slippage_pct,market_impact_coeff,market_impact_cap_pct,holding_cost_pct,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
normal_revalue,止损复查仍用原估值,2019,20190101,20191231,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.379211,0.171845,-0.107991,0.5854,164,244,0.144847
normal_revalue,止损复查仍用原估值,2020,20200101,20201231,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
normal_revalue,止损复查仍用原估值,2021,20210101,20211231,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.06207,-0.059628,-0.092588,0.5583,120,243,-0.082775
normal_revalue,止损复查仍用原估值,2022,20220101,20221231,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.154715,0.007306,-0.182667,0.3235,170,242,-0.038361
normal_revalue,止损复查仍用原估值,2023,20230101,20231231,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.060919,-0.033299,-0.143572,0.354,161,242,-0.069192
normal_revalue,止损复查仍用原估值,2024,20240101,20241231,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.010761,-0.006403,-0.176414,0.4542,251,242,-0.050506
spread_plus_100,止损复查时信用折价增加 100bp,2019,20190101,20191231,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.361637,0.154271,-0.107991,0.6554,148,244,0.127273
spread_plus_100,止损复查时信用折价增加 100bp,2020,20200101,20201231,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.106716,-0.210883,-0.188827,0.2697,89,243,-0.25809
spread_plus_100,止损复查时信用折价增加 100bp,2021,20210101,20211231,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.085617,-0.036081,-0.090569,0.5729,96,243,-0.058723
spread_plus_100,止损复查时信用折价增加 100bp,2022,20220101,20221231,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.145424,0.016597,-0.173813,0.3099,171,242,-0.026856
spread_plus_100,止损复查时信用折价增加 100bp,2023,20230101,20231231,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.06017,-0.03255,-0.143572,0.3665,161,242,-0.068443
spread_plus_100,止损复查时信用折价增加 100bp,2024,20240101,20241231,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.001465,0.005823,-0.182669,0.4563,252,242,-0.039844
spread_plus_200,止损复查时信用折价增加 200bp,2019,20190101,20191231,"{""credit_spread_add_bp"": 200.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.356064,0.148699,-0.10892,0.6599,147,244,0.121469
