cb_code,cb_name,entry_date,exit_date,exit_reason,pnl_amount,pnl_pct,holding_days,entry_close,theoretical,bond_floor,option_value,value_gap_amount,value_gap_pct,close_to_bond_floor,bond_gap_per_bond,option_gap_per_bond,option_share,source
128074.SZ,游族转债,20200102,20200515,stop_loss_value_gone,-12026.58,-0.150527,134,145.8,266.991,84.303,182.687,66412.45,0.8302,1.7295,0.0,121.191,1.0,option
128108.SZ,蓝帆转债,20200630,20200908,stop_loss_value_gone,-10893.96,-0.139571,70,157.4,376.323,83.425,292.898,111212.94,1.3902,1.8867,0.0,218.923,1.0,option
123011.SZ,德尔转债,20200102,20200306,stop_loss_switch_value_gap,-9039.85,-0.113066,64,126.079,274.529,87.497,187.032,94117.24,1.1765,1.4409,0.0,148.45,1.0,option
110047.SH,山鹰转债,20200102,20200519,stop_loss_value_gone,-9037.41,-0.113094,138,123.67,236.845,88.87,147.975,73110.89,0.9139,1.3916,0.0,113.175,1.0,option
123035.SZ,利德转债,20200102,20200416,stop_loss_switch_value_gap,-8587.67,-0.107616,105,129.521,195.953,90.57,105.383,40988.29,0.5124,1.4301,0.0,66.432,1.0,option
113584.SH,家悦转债,20200630,20200908,stop_loss_value_gone,-8574.33,-0.109891,70,139.58,361.03,85.629,275.401,126669.43,1.5834,1.6301,0.0,221.45,1.0,option
113605.SH,大参转债,20201113,20201225,stop_loss_value_gone,-8249.62,-0.130697,42,140.64,301.95,85.515,216.435,91624.3,1.1453,1.6446,0.0,161.31,1.0,option
113584.SH,家悦转债,20200908,20201113,stop_loss_switch_value_gap,-7802.57,-0.10997,66,124.69,278.31,86.234,192.076,98470.18,1.2309,1.446,0.0,153.62,1.0,option
128117.SZ,道恩转债,20200902,20201120,stop_loss_value_gone,-7719.45,-0.094167,79,118.25,290.282,87.611,202.671,116293.47,1.4537,1.3497,0.0,172.032,1.0,option
128083.SZ,新北转债,20200102,20200525,stop_loss_value_gone,-7714.03,-0.096615,144,120.21,203.992,87.582,116.411,55715.24,0.6964,1.3725,0.0,83.782,1.0,option
113545.SH,金能转债,20200703,20200925,stop_loss_switch_value_gap,-7368.92,-0.093786,84,126.5,184.147,85.605,98.542,36433.17,0.4554,1.4777,0.0,57.647,1.0,option
110047.SH,山鹰转债,20201116,20201225,stop_loss_value_gone,-7185.46,-0.093602,39,114.03,206.466,91.787,114.679,64797.5,0.81,1.2423,0.0,92.436,1.0,option
128108.SZ,蓝帆转债,20200908,20201225,stop_loss_value_gone,-7183.8,-0.089878,108,135.92,330.629,84.085,246.544,114488.64,1.4311,1.6165,0.0,194.709,1.0,option
123011.SZ,德尔转债,20201123,20201228,stop_loss_switch_value_gap,-7007.54,-0.092322,35,104.505,169.753,89.751,80.002,49914.84,0.6239,1.1644,0.0,65.248,1.0,option
113537.SH,文灿转债,20200102,20200525,stop_loss_value_gone,-6875.4,-0.086084,144,120.43,158.256,88.108,70.148,25116.73,0.314,1.3668,0.0,37.826,1.0,option
113530.SH,大丰转债,20200102,20200520,stop_loss_value_gone,-6703.17,-0.083924,139,113.41,155.113,87.248,67.865,29400.53,0.3675,1.2999,0.0,41.703,1.0,option
