name,exit_reason,count,avg_pnl_pct,sum_pnl_amount,wins
weight_soft_100_80_60_30,end_of_period,30,0.019863,15500.11,19
weight_soft_100_80_60_30,force_redemption,1,-0.0307,-2488.52,0
weight_soft_100_80_60_30,max_holding_days,22,0.043694,45359.02,12
weight_soft_100_80_60_30,stop_loss_switch_value_gap,9,-0.099844,-45426.66,0
weight_soft_100_80_60_30,stop_loss_value_gone,17,-0.112595,-108773.32,0
weight_soft_100_80_60_30,switch_value_gap,10,-0.033238,-10974.55,1
weight_soft_100_80_60_30,value_repaired,1,0.467251,37280.29,1
weight_mid_100_70_40_10,end_of_period,30,0.019863,15500.11,19
weight_mid_100_70_40_10,force_redemption,1,-0.0307,-2488.52,0
weight_mid_100_70_40_10,max_holding_days,22,0.043694,45359.02,12
weight_mid_100_70_40_10,stop_loss_switch_value_gap,9,-0.099844,-45426.66,0
weight_mid_100_70_40_10,stop_loss_value_gone,17,-0.112595,-108773.32,0
weight_mid_100_70_40_10,switch_value_gap,10,-0.033238,-10974.55,1
weight_mid_100_70_40_10,value_repaired,1,0.467251,37280.29,1
weight_hard_100_50_20_00,end_of_period,30,0.019863,15493.21,19
weight_hard_100_50_20_00,force_redemption,1,-0.0307,-2488.52,0
weight_hard_100_50_20_00,max_holding_days,22,0.043694,45359.02,12
weight_hard_100_50_20_00,stop_loss_switch_value_gap,10,-0.100661,-46883.28,0
weight_hard_100_50_20_00,stop_loss_value_gone,17,-0.112595,-108773.32,0
weight_hard_100_50_20_00,switch_value_gap,9,-0.029947,-9905.53,1
weight_hard_100_50_20_00,value_repaired,1,0.467251,37280.29,1
weight_flat_70,end_of_period,30,0.016674,16135.0,19
weight_flat_70,force_redemption,1,-0.0307,-2488.52,0
weight_flat_70,max_holding_days,18,0.044185,45026.68,8
weight_flat_70,stop_loss_switch_value_gap,14,-0.123249,-70426.01,0
weight_flat_70,stop_loss_value_gone,12,-0.109386,-89308.39,0
weight_flat_70,switch_value_gap,21,-0.007243,-3351.81,8
weight_flat_70,value_repaired,1,0.467251,37280.29,1
weight_flat_50,end_of_period,30,0.016409,15447.26,19
weight_flat_50,force_redemption,1,-0.0307,-2488.52,0
weight_flat_50,max_holding_days,23,0.042233,48289.78,12
weight_flat_50,stop_loss_switch_value_gap,9,-0.118772,-53348.08,0
weight_flat_50,stop_loss_value_gone,16,-0.119085,-112741.11,0
weight_flat_50,switch_value_gap,10,-0.022495,-8337.18,1
weight_flat_50,value_repaired,1,0.467251,37280.29,1
