name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
weight_soft_100_80_60_30,恐慌日按债底距离给期权价值温和打折: 100/80/60/30,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 1.0, ""panic_option_weight_10"": 0.8, ""panic_option_weight_15"": 0.6, ""panic_option_weight_far"": 0.3, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.739086,0.386821,-0.097762,0.6382,199,323,0.362381
weight_mid_100_70_40_10,恐慌日按债底距离给期权价值中等打折: 100/70/40/10,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 1.0, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.4, ""panic_option_weight_far"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.739086,0.386821,-0.097762,0.6382,199,323,0.362381
weight_hard_100_50_20_00,恐慌日按债底距离给期权价值重度打折: 100/50/20/0,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 1.0, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.2, ""panic_option_weight_far"": 0.0, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.739086,0.386821,-0.097762,0.6382,199,323,0.362381
weight_flat_70,恐慌日所有期权型低估统一保留70%期权价值,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.7, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.7, ""panic_option_weight_far"": 0.7, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.739086,0.386821,-0.097762,0.6382,199,323,0.362381
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,test,20250101,20260508,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.739086,0.386821,-0.097762,0.6382,199,323,0.362381
weight_flat_70,恐慌日所有期权型低估统一保留70%期权价值,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.7, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.7, ""panic_option_weight_far"": 0.7, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.237131,-0.035184,-0.32296,0.4481,915,1456,-0.115924
weight_hard_100_50_20_00,恐慌日按债底距离给期权价值重度打折: 100/50/20/0,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 1.0, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.2, ""panic_option_weight_far"": 0.0, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.219897,-0.052417,-0.349863,0.4464,932,1456,-0.139883
weight_soft_100_80_60_30,恐慌日按债底距离给期权价值温和打折: 100/80/60/30,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 1.0, ""panic_option_weight_10"": 0.8, ""panic_option_weight_15"": 0.6, ""panic_option_weight_far"": 0.3, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.205504,-0.06681,-0.338944,0.4386,944,1456,-0.151546
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.198106,-0.074208,-0.355488,0.4413,954,1456,-0.16308
weight_mid_100_70_40_10,恐慌日按债底距离给期权价值中等打折: 100/70/40/10,train,20190101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 1.0, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.4, ""panic_option_weight_far"": 0.1, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.173781,-0.098533,-0.367352,0.4417,960,1456,-0.190371
