name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.35095,0.143584,-0.107877,0.6714,140,244,0.116615
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.074392,-0.178559,-0.161022,0.3667,90,243,-0.218814
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.057024,-0.064675,-0.083814,0.5702,121,243,-0.085628
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.16054,0.001482,-0.185424,0.3161,155,242,-0.044874
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.069861,-0.042241,-0.149297,0.3818,165,242,-0.079565
weight_flat_50,恐慌日所有期权型低估统一保留50%期权价值,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.5, ""panic_option_weight_10"": 0.5, ""panic_option_weight_15"": 0.5, ""panic_option_weight_far"": 0.5, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.000418,0.00394,-0.184301,0.4387,253,242,-0.042135
weight_flat_70,恐慌日所有期权型低估统一保留70%期权价值,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.7, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.7, ""panic_option_weight_far"": 0.7, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.343447,0.136081,-0.112991,0.6739,138,244,0.107833
weight_flat_70,恐慌日所有期权型低估统一保留70%期权价值,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.7, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.7, ""panic_option_weight_far"": 0.7, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.065449,-0.169616,-0.154661,0.3711,97,243,-0.208281
weight_flat_70,恐慌日所有期权型低估统一保留70%期权价值,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.7, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.7, ""panic_option_weight_far"": 0.7, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.057024,-0.064675,-0.083814,0.5702,121,243,-0.085628
weight_flat_70,恐慌日所有期权型低估统一保留70%期权价值,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""panic_dates_file"": ""data/cb_arb_concurrent_supervised_20260511_094500/panic_detector_training/panic_detector_trained_daily.csv"", ""panic_effective_lag_days"": 1, ""panic_opportunity_bad_days"": 5, ""panic_opportunity_exit_on_recovery_enabled"": 1.0, ""panic_opportunity_protect_days"": 20, ""panic_opportunity_protect_enabled"": 1.0, ""panic_opportunity_recovery_days"": 4, ""panic_opportunity_switch_hurdle_pct"": 0.15, ""panic_opportunity_trigger_mode"": ""medium"", ""panic_option_value_weight_enabled"": 1.0, ""panic_option_value_weight_scope"": ""triggered_revalue"", ""panic_option_weight_05"": 0.7, ""panic_option_weight_10"": 0.7, ""panic_option_weight_15"": 0.7, ""panic_option_weight_far"": 0.7, ""panic_rule"": ""agent_combo"", ""panic_signal_column"": ""panic_day_trained"", ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.158608,0.003413,-0.185278,0.2905,148,242,-0.042907
