name,exit_reason,count,avg_pnl_pct,sum_pnl_amount,wins
baseline_no_entry_gate,end_of_period,25,-0.007256,-5586.67,11
baseline_no_entry_gate,force_redemption,1,-0.02503,-1742.3,0
baseline_no_entry_gate,max_holding_days,20,0.052598,42460.27,11
baseline_no_entry_gate,stop_loss_switch_value_gap,13,-0.110127,-77557.33,0
baseline_no_entry_gate,stop_loss_value_gone,7,-0.100526,-41624.11,0
baseline_no_entry_gate,switch_value_gap,9,-0.037767,-8183.58,0
ratio_1p15,end_of_period,30,0.019812,20070.71,23
ratio_1p15,max_holding_days,22,0.00572,-20555.05,8
ratio_1p15,stop_loss_switch_value_gap,6,-0.112214,-38222.07,0
ratio_1p15,stop_loss_value_gone,1,-0.101418,-5700.96,0
ratio_1p15,switch_value_gap,8,-0.021179,-3569.71,1
ratio_1p15,value_repaired,21,0.064195,75123.43,16
ratio_1p25,end_of_period,30,0.019568,15214.95,22
ratio_1p25,force_redemption,1,0.033033,984.49,1
ratio_1p25,max_holding_days,28,-0.012079,-25821.01,10
ratio_1p25,stop_loss_switch_value_gap,4,-0.097656,-31593.8,0
ratio_1p25,switch_value_gap,1,-0.062055,-1491.94,0
ratio_1p25,value_repaired,1,0.405608,32385.66,1
ratio_1p35,end_of_period,29,0.021101,25827.09,24
ratio_1p35,force_redemption,1,0.012521,373.92,1
ratio_1p35,max_holding_days,24,0.004398,5531.43,10
ratio_1p35,stop_loss_switch_value_gap,5,-0.099281,-28739.03,0
ratio_1p35,stop_loss_value_gone,2,-0.087196,-13841.87,0
ratio_1p35,value_repaired,1,0.405608,32385.66,1
ratio_1p5,end_of_period,28,-0.000204,-3910.53,16
ratio_1p5,force_redemption,1,0.012522,350.73,1
ratio_1p5,max_holding_days,23,0.023999,6020.84,12
ratio_1p5,stop_loss_switch_value_gap,9,-0.108536,-48666.28,0
ratio_1p5,stop_loss_value_gone,4,-0.094099,-23081.75,0
ratio_1p5,switch_value_gap,4,0.056608,9560.8,2
bad_signal_max_0,end_of_period,30,-0.012544,-19449.73,15
bad_signal_max_0,force_redemption,1,-0.02503,-1742.3,0
bad_signal_max_0,max_holding_days,23,0.073799,93532.84,15
bad_signal_max_0,stop_loss_switch_value_gap,14,-0.115754,-92652.72,0
bad_signal_max_0,stop_loss_value_gone,7,-0.102909,-46569.77,0
bad_signal_max_0,switch_value_gap,10,-0.027242,-1705.97,2
bad_signal_max_0,value_repaired,1,0.030829,3.01,1
bad_signal_max_1,end_of_period,26,-0.023269,-15194.02,11
bad_signal_max_1,force_redemption,1,-0.02503,-1742.3,0
bad_signal_max_1,max_holding_days,16,0.069769,47439.44,9
bad_signal_max_1,stop_loss_switch_value_gap,14,-0.110179,-79142.77,0
bad_signal_max_1,stop_loss_value_gone,8,-0.10059,-52334.84,0
bad_signal_max_1,switch_value_gap,20,-0.004452,-5101.48,7
bad_signal_max_1,value_repaired,1,0.011957,1.14,1
bad_signal_max_2,end_of_period,29,-0.013357,-13288.67,14
bad_signal_max_2,force_redemption,1,-0.02503,-1742.3,0
bad_signal_max_2,max_holding_days,17,0.063666,43667.31,9
bad_signal_max_2,stop_loss_switch_value_gap,15,-0.109489,-81878.16,0
bad_signal_max_2,stop_loss_value_gone,8,-0.10059,-54180.6,0
bad_signal_max_2,switch_value_gap,22,-0.005695,-3524.95,7
ratio_1p2_signal_0,end_of_period,30,0.000838,3347.98,18
ratio_1p2_signal_0,max_holding_days,18,-0.02186,-34400.69,5
ratio_1p2_signal_0,stop_loss_switch_value_gap,5,-0.109586,-23841.72,0
ratio_1p2_signal_0,stop_loss_value_gone,2,-0.103715,-17540.42,0
ratio_1p2_signal_0,switch_value_gap,6,-0.013151,-2211.92,2
ratio_1p2_signal_0,value_repaired,8,0.097865,59831.25,7
ratio_1p2_signal_1,end_of_period,30,0.018894,16041.96,26
ratio_1p2_signal_1,max_holding_days,24,-0.027116,-44757.43,5
ratio_1p2_signal_1,stop_loss_switch_value_gap,2,-0.109524,-17897.73,0
ratio_1p2_signal_1,stop_loss_value_gone,1,-0.090468,-7396.91,0
ratio_1p2_signal_1,switch_value_gap,2,0.0169,1028.23,1
ratio_1p2_signal_1,value_repaired,4,0.132992,46858.51,3
ratio_1p2_signal_2,end_of_period,30,0.024305,23810.85,27
ratio_1p2_signal_2,max_holding_days,22,-0.025867,-39149.18,5
ratio_1p2_signal_2,stop_loss_switch_value_gap,2,-0.109524,-17908.82,0
ratio_1p2_signal_2,stop_loss_value_gone,1,-0.090468,-7396.91,0
ratio_1p2_signal_2,switch_value_gap,3,-0.068891,-12657.67,0
ratio_1p2_signal_2,value_repaired,4,0.163557,48964.59,4
ratio_1p3_signal_0,end_of_period,30,0.010867,12518.07,22
ratio_1p3_signal_0,force_redemption,1,0.026583,794.38,1
ratio_1p3_signal_0,max_holding_days,25,-0.003342,-21941.1,11
ratio_1p3_signal_0,stop_loss_switch_value_gap,6,-0.106668,-30663.08,0
ratio_1p3_signal_0,stop_loss_value_gone,2,-0.094156,-9820.0,0
ratio_1p3_signal_0,switch_value_gap,1,0.020185,586.06,1
ratio_1p3_signal_0,value_repaired,3,0.166025,34623.52,2
