name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
bad_signal_max_0,期权型候选买入时最多允许 0 个弱势信号,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.325544,0.118178,-0.106567,0.6203,158,244,0.091536
bad_signal_max_0,期权型候选买入时最多允许 0 个弱势信号,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.066919,-0.171086,-0.158965,0.3837,86,243,-0.210827
bad_signal_max_0,期权型候选买入时最多允许 0 个弱势信号,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.077438,-0.044261,-0.085256,0.6053,114,243,-0.065575
bad_signal_max_0,期权型候选买入时最多允许 0 个弱势信号,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.144382,0.017639,-0.171806,0.3876,178,242,-0.025312
bad_signal_max_0,期权型候选买入时最多允许 0 个弱势信号,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.056394,-0.028775,-0.141211,0.3416,161,242,-0.064078
bad_signal_max_0,期权型候选买入时最多允许 0 个弱势信号,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.017278,0.021637,-0.177124,0.4292,233,242,-0.022644
bad_signal_max_1,期权型候选买入时最多允许 1 个弱势信号,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.371156,0.16379,-0.108901,0.5636,165,244,0.136565
bad_signal_max_1,期权型候选买入时最多允许 1 个弱势信号,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.104461,-0.208628,-0.187911,0.3256,86,243,-0.255606
bad_signal_max_1,期权型候选买入时最多允许 1 个弱势信号,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.090424,-0.031274,-0.082778,0.5906,127,243,-0.051969
bad_signal_max_1,期权型候选买入时最多允许 1 个弱势信号,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.150215,0.011806,-0.178803,0.3176,170,242,-0.032895
bad_signal_max_1,期权型候选买入时最多允许 1 个弱势信号,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.057041,-0.029421,-0.14017,0.3711,159,242,-0.064463
bad_signal_max_1,期权型候选买入时最多允许 1 个弱势信号,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.000213,0.004571,-0.167436,0.4583,240,242,-0.037288
bad_signal_max_2,期权型候选买入时最多允许 2 个弱势信号,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 2, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.378716,0.17135,-0.107991,0.5767,163,244,0.144352
bad_signal_max_2,期权型候选买入时最多允许 2 个弱势信号,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 2, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.109342,-0.213509,-0.193497,0.3261,92,243,-0.261883
bad_signal_max_2,期权型候选买入时最多允许 2 个弱势信号,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 2, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.06207,-0.059628,-0.092588,0.5583,120,243,-0.082775
bad_signal_max_2,期权型候选买入时最多允许 2 个弱势信号,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 2, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.155881,0.00614,-0.183837,0.3232,164,242,-0.039819
bad_signal_max_2,期权型候选买入时最多允许 2 个弱势信号,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled"": 1.0, ""option_entry_max_bad_signals"": 2, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.060919,-0.033299,-0.143572,0.354,161,242,-0.069192
