name,description,period,start,end,position_scale_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
baseline_no_feedback,当前主策略，不使用已平仓期权来源盈亏反馈,2019,20190101,20191231,"{""candidate_position_scale_enabled"": 0.0, ""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u4f7f\u7528\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u76c8\u4e8f\u53cd\u9988"", ""name"": ""baseline_no_feedback"", ""option_source_pnl_feedback_enabled"": 0.0}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 0.0, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.379211,0.171845,-0.107991,0.5854,164,244,0.144847
baseline_no_feedback,当前主策略，不使用已平仓期权来源盈亏反馈,2020,20200101,20201231,"{""candidate_position_scale_enabled"": 0.0, ""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u4f7f\u7528\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u76c8\u4e8f\u53cd\u9988"", ""name"": ""baseline_no_feedback"", ""option_source_pnl_feedback_enabled"": 0.0}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 0.0, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
baseline_no_feedback,当前主策略，不使用已平仓期权来源盈亏反馈,2021,20210101,20211231,"{""candidate_position_scale_enabled"": 0.0, ""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u4f7f\u7528\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u76c8\u4e8f\u53cd\u9988"", ""name"": ""baseline_no_feedback"", ""option_source_pnl_feedback_enabled"": 0.0}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 0.0, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.06207,-0.059628,-0.092588,0.5583,120,243,-0.082775
baseline_no_feedback,当前主策略，不使用已平仓期权来源盈亏反馈,2022,20220101,20221231,"{""candidate_position_scale_enabled"": 0.0, ""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u4f7f\u7528\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u76c8\u4e8f\u53cd\u9988"", ""name"": ""baseline_no_feedback"", ""option_source_pnl_feedback_enabled"": 0.0}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 0.0, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.154715,0.007306,-0.182667,0.3235,170,242,-0.038361
baseline_no_feedback,当前主策略，不使用已平仓期权来源盈亏反馈,2023,20230101,20231231,"{""candidate_position_scale_enabled"": 0.0, ""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u4f7f\u7528\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u76c8\u4e8f\u53cd\u9988"", ""name"": ""baseline_no_feedback"", ""option_source_pnl_feedback_enabled"": 0.0}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 0.0, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.060919,-0.033299,-0.143572,0.354,161,242,-0.069192
baseline_no_feedback,当前主策略，不使用已平仓期权来源盈亏反馈,2024,20240101,20241231,"{""candidate_position_scale_enabled"": 0.0, ""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u4f7f\u7528\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u76c8\u4e8f\u53cd\u9988"", ""name"": ""baseline_no_feedback"", ""option_source_pnl_feedback_enabled"": 0.0}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 0.0, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.010761,-0.006403,-0.176414,0.4542,251,242,-0.050506
feedback_20d_min2_scale_0p75,最近 20 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,2019,20190101,20191231,"{""description"": ""\u6700\u8fd1 20 \u5929\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u4ea4\u6613\u4e0d\u5c11\u4e8e 2 \u7b14\u4e14\u4e8f\u94b1\u65f6\uff0c\u540e\u7eed\u671f\u6743\u6765\u6e90\u5019\u9009\u6392\u5e8f\u91d1\u989d\u548c\u4e70\u5165\u91d1\u989d\u4e58\u4ee5 0.75"", ""name"": ""feedback_20d_min2_scale_0p75"", ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.34807,0.140704,-0.114418,0.6234,154,244,0.112099
feedback_20d_min2_scale_0p75,最近 20 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,2020,20200101,20201231,"{""description"": ""\u6700\u8fd1 20 \u5929\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u4ea4\u6613\u4e0d\u5c11\u4e8e 2 \u7b14\u4e14\u4e8f\u94b1\u65f6\uff0c\u540e\u7eed\u671f\u6743\u6765\u6e90\u5019\u9009\u6392\u5e8f\u91d1\u989d\u548c\u4e70\u5165\u91d1\u989d\u4e58\u4ee5 0.75"", ""name"": ""feedback_20d_min2_scale_0p75"", ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.105795,-0.209962,-0.185905,0.3396,106,243,-0.256438
feedback_20d_min2_scale_0p75,最近 20 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,2021,20210101,20211231,"{""description"": ""\u6700\u8fd1 20 \u5929\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u4ea4\u6613\u4e0d\u5c11\u4e8e 2 \u7b14\u4e14\u4e8f\u94b1\u65f6\uff0c\u540e\u7eed\u671f\u6743\u6765\u6e90\u5019\u9009\u6392\u5e8f\u91d1\u989d\u548c\u4e70\u5165\u91d1\u989d\u4e58\u4ee5 0.75"", ""name"": ""feedback_20d_min2_scale_0p75"", ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.075525,-0.046174,-0.08404,0.6197,142,243,-0.067184
feedback_20d_min2_scale_0p75,最近 20 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,2022,20220101,20221231,"{""description"": ""\u6700\u8fd1 20 \u5929\u5df2\u5e73\u4ed3\u671f\u6743\u6765\u6e90\u4ea4\u6613\u4e0d\u5c11\u4e8e 2 \u7b14\u4e14\u4e8f\u94b1\u65f6\uff0c\u540e\u7eed\u671f\u6743\u6765\u6e90\u5019\u9009\u6392\u5e8f\u91d1\u989d\u548c\u4e70\u5165\u91d1\u989d\u4e58\u4ee5 0.75"", ""name"": ""feedback_20d_min2_scale_0p75"", ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.172792,-0.010771,-0.19847,0.3279,183,242,-0.060388
