name,source,count,avg_pnl_pct,sum_pnl_amount,wins,avg_close_to_bond_floor,avg_moneyness_stock_to_conv,avg_position_cash_scale
baseline_no_position_scale,mixed,1,0.026624,397.19,1,0.797683,0.778116,1.0
baseline_no_position_scale,option,74,-0.022383,-92630.91,21,1.318774,1.747065,1.0
ratio_1p5_scale_0p75,mixed,1,-0.010019,-0.8,0,0.827599,0.781155,1.0
ratio_1p5_scale_0p75,option,91,-0.01783,-126768.59,30,1.293678,1.622394,0.978022
ratio_1p5_scale_0p5,mixed,1,0.026623,707.93,1,0.797683,0.778116,1.0
ratio_1p5_scale_0p5,option,80,-0.013468,-95948.1,31,1.289983,1.656142,0.9625
ratio_1p5_scale_0p25,mixed,1,-0.010019,-72.28,0,0.827599,0.781155,1.0
ratio_1p5_scale_0p25,option,91,-0.010279,-72013.26,34,1.280962,1.561463,0.983516
moneyness_1p6_scale_0p75,mixed,1,-0.010021,-708.52,0,0.827599,0.781155,1.0
moneyness_1p6_scale_0p75,option,105,-0.013228,-64347.72,36,1.284894,1.56304,0.92381
moneyness_1p6_scale_0p5,mixed,1,0.026623,720.28,1,0.797683,0.778116,1.0
moneyness_1p6_scale_0p5,option,115,-0.012317,-79155.89,43,1.296337,1.596375,0.856522
moneyness_1p6_scale_0p25,mixed,1,-0.04779,-3.98,0,0.862869,0.81155,1.0
moneyness_1p6_scale_0p25,option,84,-0.014414,-22708.23,27,1.262893,1.424127,0.910714
ratio_1p5_or_mny_1p6_scale_0p75,mixed,5,0.006325,720.68,3,0.877607,0.538161,1.0
ratio_1p5_or_mny_1p6_scale_0p75,option,93,-0.016383,-81830.77,33,1.300036,1.615101,0.913978
ratio_1p5_or_mny_1p6_scale_0p5,mixed,2,-0.001228,715.76,1,0.836466,0.796353,1.0
ratio_1p5_or_mny_1p6_scale_0p5,option,109,-0.013113,-80395.47,39,1.29953,1.628368,0.848624
ratio_1p5_or_mny_1p6_scale_0p25,mixed,2,-0.036297,746.79,1,0.841205,0.803951,1.0
ratio_1p5_or_mny_1p6_scale_0p25,option,82,-0.011893,-24200.28,28,1.252598,1.422138,0.908537
progressive_stocklike_position_scale,mixed,1,-0.010022,-759.15,0,0.827599,0.781155,1.0
progressive_stocklike_position_scale,option,109,-0.012633,-47767.65,40,1.2467,1.428822,0.862385
