name,description,period,start,end,position_scale_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score,spec_run_id,spec_binding_hash
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,train,20190101,20241231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.403678,0.131363,-0.324048,0.4533,986,1456,0.050351,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,test,20250101,20260508,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.732025,0.37976,-0.097762,0.6073,191,323,0.35532,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.346515,0.0742,-0.307392,0.4532,993,1456,-0.002648,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.645128,0.292862,-0.095876,0.6172,209,323,0.268893,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.274694,0.002379,-0.28397,0.4793,1037,1456,-0.068613,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.572982,0.220717,-0.08937,0.5944,249,323,0.198375,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_scale_0p25,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.25,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.251632,-0.020682,-0.240982,0.491,1055,1456,-0.080927,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_scale_0p25,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.25,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.450907,0.098642,-0.08937,0.594,266,323,0.076299,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
moneyness_1p6_scale_0p75,期权型低估且正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.75,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_scale_0p75"", ""position_scale"": 0.75}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.463493,0.191179,-0.261132,0.4662,976,1456,0.125896,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
moneyness_1p6_scale_0p75,期权型低估且正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.75,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_scale_0p75"", ""position_scale"": 0.75}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.672377,0.320112,-0.097762,0.5871,201,323,0.295672,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
