name,source,count,avg_pnl_pct,sum_pnl_amount,wins,avg_close_to_bond_floor,avg_moneyness_stock_to_conv
baseline_no_haircut,mixed,1,0.026624,397.19,1,0.797683,0.778116
baseline_no_haircut,option,74,-0.022383,-92630.91,21,1.318774,1.747065
ratio_1p4_weight_0p75,mixed,1,-0.041145,-3.48,0,0.874937,0.817629
ratio_1p4_weight_0p75,option,78,-0.022767,-91312.17,22,1.283684,1.689159
ratio_1p4_weight_0p5,mixed,2,-0.000736,715.9,1,0.826545,0.796353
ratio_1p4_weight_0p5,option,87,-0.007409,-75697.88,36,1.24809,1.544731
ratio_1p5_weight_0p75,mixed,4,-6.5e-05,711.8,1,0.859614,0.81079
ratio_1p5_weight_0p75,option,102,-0.010965,-88804.49,37,1.299309,1.594876
ratio_1p5_weight_0p5,mixed,2,-0.006353,731.33,1,0.841205,0.803951
ratio_1p5_weight_0p5,option,85,-0.00187,-57349.43,36,1.267483,1.581495
moneyness_1p6_weight_0p75,mixed,1,0.026623,707.93,1,0.797683,0.778116
moneyness_1p6_weight_0p75,option,104,-0.01443,-94773.54,37,1.310285,1.638424
moneyness_1p6_weight_0p5,mixed,2,-0.031037,-713.78,0,0.856163,0.805471
moneyness_1p6_weight_0p5,option,87,0.000837,-46433.57,38,1.250058,1.4858
ratio_1p5_or_mny_1p6_weight_0p75,mixed,1,0.026623,718.22,1,0.797683,0.778116
ratio_1p5_or_mny_1p6_weight_0p75,option,103,-0.013339,-83386.01,36,1.30735,1.612445
ratio_1p5_or_mny_1p6_weight_0p5,mixed,1,0.026623,736.74,1,0.797683,0.778116
ratio_1p5_or_mny_1p6_weight_0p5,option,86,0.003887,-51270.0,39,1.262227,1.529786
ratio_1p5_or_mny_1p6_weight_0p25,mixed,1,-0.039559,-3.27,0,0.855407,0.81459
ratio_1p5_or_mny_1p6_weight_0p25,option,132,0.015226,130018.78,64,1.278991,1.319192
progressive_stocklike_haircut,mixed,2,0.002939,-842.23,1,0.858585,0.628649
progressive_stocklike_haircut,option,77,0.01263,50563.15,37,1.229179,1.324018
