name,description,period,start,end,haircut_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
baseline_no_haircut,当前主策略估值，不调整期权价值,train,20190101,20241231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\u4f30\u503c\uff0c\u4e0d\u8c03\u6574\u671f\u6743\u4ef7\u503c"", ""mode"": ""none"", ""name"": ""baseline_no_haircut""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.403678,0.131363,-0.324048,0.4533,986,1456,0.050351
baseline_no_haircut,当前主策略估值，不调整期权价值,test,20250101,20260508,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\u4f30\u503c\uff0c\u4e0d\u8c03\u6574\u671f\u6743\u4ef7\u503c"", ""mode"": ""none"", ""name"": ""baseline_no_haircut""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.732025,0.37976,-0.097762,0.6073,191,323,0.35532
ratio_1p4_weight_0p75,期权型低估且价格/债底 > 1.4 时，期权价值乘以 0.75,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.4 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p4_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.4}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.233537,-0.038778,-0.288154,0.4902,1171,1456,-0.110817
ratio_1p4_weight_0p75,期权型低估且价格/债底 > 1.4 时，期权价值乘以 0.75,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.4 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p4_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.4}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.172473,-0.179792,-0.08571,0.594,234,323,-0.201219
ratio_1p4_weight_0p5,期权型低估且价格/债底 > 1.4 时，期权价值乘以 0.5,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.4 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p4_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.4}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.444161,0.171847,-0.237702,0.5275,1181,1456,0.112422
ratio_1p4_weight_0p5,期权型低估且价格/债底 > 1.4 时，期权价值乘以 0.5,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.4 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p4_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.4}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.159512,-0.192753,-0.085776,0.6667,213,323,-0.214197
ratio_1p5_weight_0p75,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.75,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.193094,-0.079221,-0.295875,0.4813,1045,1456,-0.15319
ratio_1p5_weight_0p75,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.75,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.247332,-0.104933,-0.089622,0.6275,255,323,-0.127338
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.326958,0.054643,-0.25629,0.4912,1138,1456,-0.00943
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.213547,-0.138718,-0.097766,0.6593,273,323,-0.16316
