lookback_days,pnl_scaling_floor,period,total_pnl,trade_count,win_rate,max_drawdown
20,0.3,train,3945876.24,3893,0.6412,-88269.96
20,0.3,test,1563971.05,772,0.649,-38829.42
20,0.3,validate_2020,993377.42,633,0.5814,-299904.66
20,0.5,train,4030100.13,3893,0.6412,-89041.47
20,0.5,test,1584190.38,772,0.649,-40931.55
20,0.5,validate_2020,1013572.7,633,0.5814,-290769.52
20,0.7,train,4115064.65,3893,0.6412,-89755.74
20,0.7,test,1604517.86,772,0.649,-43025.59
20,0.7,validate_2020,1033806.07,633,0.5814,-284596.52
40,0.3,train,3995872.24,3893,0.6412,-86770.18
40,0.3,test,1570731.02,772,0.649,-41696.55
40,0.3,validate_2020,1000413.07,633,0.5814,-300914.96
40,0.5,train,4066547.36,3893,0.6412,-87959.6
40,0.5,test,1588951.56,772,0.649,-42972.23
40,0.5,validate_2020,1018630.82,633,0.5814,-291486.53
40,0.7,train,4136722.23,3893,0.6412,-89116.76
40,0.7,test,1607318.92,772,0.649,-44265.05
40,0.7,validate_2020,1036895.7,633,0.5814,-284415.88
60,0.3,train,4012191.03,3893,0.6412,-86658.78
60,0.3,test,1579649.31,772,0.649,-42031.53
60,0.3,validate_2020,1008723.17,633,0.5814,-302513.87
60,0.5,train,4077899.72,3893,0.6412,-87860.73
60,0.5,test,1595340.42,772,0.649,-43222.62
60,0.5,validate_2020,1024539.27,633,0.5814,-292663.88
60,0.7,train,4143656.24,3893,0.6412,-89068.77
60,0.7,test,1611021.68,772,0.649,-44416.83
60,0.7,validate_2020,1040512.5,633,0.5814,-284516.47
