name,exit_reason,count,avg_pnl_pct,sum_pnl_amount,wins
baseline_no_regime_entry_gate,end_of_period,25,-0.007256,-5586.67,11
baseline_no_regime_entry_gate,force_redemption,1,-0.02503,-1742.3,0
baseline_no_regime_entry_gate,max_holding_days,20,0.052598,42460.27,11
baseline_no_regime_entry_gate,stop_loss_switch_value_gap,13,-0.110127,-77557.33,0
baseline_no_regime_entry_gate,stop_loss_value_gone,7,-0.100526,-41624.11,0
baseline_no_regime_entry_gate,switch_value_gap,9,-0.037767,-8183.58,0
weak_signal_0,end_of_period,25,-0.007256,-5586.67,11
weak_signal_0,force_redemption,1,-0.02503,-1742.3,0
weak_signal_0,max_holding_days,20,0.052598,42460.27,11
weak_signal_0,stop_loss_switch_value_gap,13,-0.110127,-77557.33,0
weak_signal_0,stop_loss_value_gone,7,-0.100526,-41624.11,0
weak_signal_0,switch_value_gap,9,-0.037767,-8183.58,0
weak_signal_1,end_of_period,25,-0.007256,-5586.67,11
weak_signal_1,force_redemption,1,-0.02503,-1742.3,0
weak_signal_1,max_holding_days,20,0.052598,42460.27,11
weak_signal_1,stop_loss_switch_value_gap,13,-0.110127,-77557.33,0
weak_signal_1,stop_loss_value_gone,7,-0.100526,-41624.11,0
weak_signal_1,switch_value_gap,9,-0.037767,-8183.58,0
weak_ratio_1p15,end_of_period,25,-0.007256,-5586.67,11
weak_ratio_1p15,force_redemption,1,-0.02503,-1742.3,0
weak_ratio_1p15,max_holding_days,20,0.052598,42460.27,11
weak_ratio_1p15,stop_loss_switch_value_gap,13,-0.110127,-77557.33,0
weak_ratio_1p15,stop_loss_value_gone,7,-0.100526,-41624.11,0
weak_ratio_1p15,switch_value_gap,9,-0.037767,-8183.58,0
weak_ratio_1p25,end_of_period,25,-0.007256,-5586.67,11
weak_ratio_1p25,force_redemption,1,-0.02503,-1742.3,0
weak_ratio_1p25,max_holding_days,20,0.052598,42460.27,11
weak_ratio_1p25,stop_loss_switch_value_gap,13,-0.110127,-77557.33,0
weak_ratio_1p25,stop_loss_value_gone,7,-0.100526,-41624.11,0
weak_ratio_1p25,switch_value_gap,9,-0.037767,-8183.58,0
