name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
baseline_no_regime_entry_gate,当前主策略入口；不按市场状态限制期权型低估买入,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.379211,0.171845,-0.107991,0.5854,164,244,0.144847
baseline_no_regime_entry_gate,当前主策略入口；不按市场状态限制期权型低估买入,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
baseline_no_regime_entry_gate,当前主策略入口；不按市场状态限制期权型低估买入,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.06207,-0.059628,-0.092588,0.5583,120,243,-0.082775
baseline_no_regime_entry_gate,当前主策略入口；不按市场状态限制期权型低估买入,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.154715,0.007306,-0.182667,0.3235,170,242,-0.038361
baseline_no_regime_entry_gate,当前主策略入口；不按市场状态限制期权型低估买入,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.060919,-0.033299,-0.143572,0.354,161,242,-0.069192
baseline_no_regime_entry_gate,当前主策略入口；不按市场状态限制期权型低估买入,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.010761,-0.006403,-0.176414,0.4542,251,242,-0.050506
flat_weak_ratio_1p25,仅弱震荡：期权型买入要求价格/债底 <= 1.25,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.25, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.354882,0.147516,-0.107991,0.6013,158,244,0.120518
flat_weak_ratio_1p25,仅弱震荡：期权型买入要求价格/债底 <= 1.25,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.25, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090632,-0.194798,-0.179103,0.2933,75,243,-0.239574
flat_weak_ratio_1p25,仅弱震荡：期权型买入要求价格/债底 <= 1.25,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.25, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.054897,-0.066801,-0.082166,0.6064,94,243,-0.087343
flat_weak_ratio_1p25,仅弱震荡：期权型买入要求价格/债底 <= 1.25,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.25, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.15376,0.008261,-0.181719,0.3289,149,242,-0.037169
