candidate,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.0,0.0,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.0,0.005,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.0,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.005,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.0,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.005,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.0,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.005,0.01,90.0,0.0,0.543408,0.271094,-0.352158,0.4362,1325,1456,0.183055
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.0,0.03,90.0,0.0,0.411152,0.138838,-0.377465,0.4353,1144,1456,0.044472
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.005,0.03,90.0,0.0,0.411152,0.138838,-0.377465,0.4353,1144,1456,0.044472
