name,exit_reason,count,avg_pnl_pct,sum_pnl_amount,wins
normal_revalue,end_of_period,25,-0.00367,-2765.8,11
normal_revalue,force_redemption,1,-0.021508,-1543.18,0
normal_revalue,max_holding_days,20,0.056408,45701.56,12
normal_revalue,stop_loss_switch_value_gap,13,-0.106914,-76081.04,0
normal_revalue,stop_loss_value_gone,7,-0.097275,-40625.25,0
normal_revalue,switch_value_gap,10,-0.02905,-7454.63,1
all_credit_200bp_proxy,end_of_period,27,-0.003396,6708.71,11
all_credit_200bp_proxy,force_redemption,1,-0.027191,-880.87,0
all_credit_200bp_proxy,max_holding_days,19,0.048091,53753.68,11
all_credit_200bp_proxy,stop_loss_switch_value_gap,13,-0.113416,-73299.47,0
all_credit_200bp_proxy,stop_loss_value_gone,11,-0.091731,-54218.3,0
all_credit_200bp_proxy,switch_value_gap,20,-0.0168,-6271.39,5
all_credit_200bp_proxy,value_repaired,1,0.63255,44315.08,1
source_bond20_option10_mixed_light,end_of_period,25,0.027925,30495.58,16
source_bond20_option10_mixed_light,force_redemption,1,-0.027191,-1022.95,0
source_bond20_option10_mixed_light,max_holding_days,15,0.016569,16419.3,5
source_bond20_option10_mixed_light,stop_loss_switch_value_gap,15,-0.116113,-124098.2,0
source_bond20_option10_mixed_light,stop_loss_value_gone,6,-0.098888,-11580.63,0
source_bond20_option10_mixed_light,switch_value_gap,8,-0.009561,-5172.6,1
source_bond20_option10_mixed_light,value_repaired,1,0.735076,49809.88,1
source_bond10_option10_mixed_light,end_of_period,25,0.027925,30495.58,16
source_bond10_option10_mixed_light,force_redemption,1,-0.027191,-1022.95,0
source_bond10_option10_mixed_light,max_holding_days,15,0.016569,16419.3,5
source_bond10_option10_mixed_light,stop_loss_switch_value_gap,15,-0.116113,-124098.2,0
source_bond10_option10_mixed_light,stop_loss_value_gone,6,-0.098888,-11580.63,0
source_bond10_option10_mixed_light,switch_value_gap,8,-0.009561,-5172.6,1
source_bond10_option10_mixed_light,value_repaired,1,0.735076,49809.88,1
source_bond20_option15_mixed_mid,end_of_period,27,0.019916,28454.43,18
source_bond20_option15_mixed_mid,force_redemption,1,-0.027191,-1004.01,0
source_bond20_option15_mixed_mid,max_holding_days,18,0.030871,33170.26,9
source_bond20_option15_mixed_mid,stop_loss_switch_value_gap,14,-0.122447,-120074.73,0
source_bond20_option15_mixed_mid,stop_loss_value_gone,7,-0.08942,-14583.97,0
source_bond20_option15_mixed_mid,switch_value_gap,7,-0.034492,-7439.03,1
source_bond20_option15_mixed_mid,value_repaired,1,0.735076,49809.88,1
