name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
normal_revalue,止损复查用原估值,test,20250101,20260508,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.817948,0.465683,-0.097527,0.684,212,323,0.441301
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,test,20250101,20260508,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.802203,0.449938,-0.097527,0.6792,212,323,0.425556
source_bond20_option10_mixed_light,债底型债底打 8 折，期权型期权打 9 折，混合轻度压力,test,20250101,20260508,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.2, ""stress_bond_cut_mixed"": 0.1, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",0.79033,0.438065,-0.097527,0.6733,202,323,0.413683
source_bond10_option10_mixed_light,债底型债底打 9 折，期权型期权打 9 折，混合轻度压力,test,20250101,20260508,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.1, ""stress_bond_cut_mixed"": 0.05, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",0.79033,0.438065,-0.097527,0.6733,202,323,0.413683
source_bond20_option15_mixed_mid,债底型债底打 8 折，期权型期权打 85 折，混合中度压力,test,20250101,20260508,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.2, ""stress_bond_cut_mixed"": 0.1, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.08, ""stress_option_cut_option"": 0.15, ""switch_hurdle_pct"": 0.03}",0.787987,0.435722,-0.097527,0.6733,202,323,0.41134
normal_revalue,止损复查用原估值,train,20190101,20241231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.450977,0.178662,-0.295256,0.4848,988,1456,0.104848
source_bond20_option15_mixed_mid,债底型债底打 8 折，期权型期权打 85 折，混合中度压力,train,20190101,20241231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.2, ""stress_bond_cut_mixed"": 0.1, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.08, ""stress_option_cut_option"": 0.15, ""switch_hurdle_pct"": 0.03}",0.392035,0.11972,-0.300689,0.4897,870,1456,0.044548
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,train,20190101,20241231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.38539,0.113076,-0.302554,0.4896,1007,1456,0.037437
source_bond10_option10_mixed_light,债底型债底打 9 折，期权型期权打 9 折，混合轻度压力,train,20190101,20241231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.1, ""stress_bond_cut_mixed"": 0.05, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",0.352729,0.080415,-0.318703,0.4912,914,1456,0.000739
source_bond20_option10_mixed_light,债底型债底打 8 折，期权型期权打 9 折，混合轻度压力,train,20190101,20241231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.2, ""stress_bond_cut_mixed"": 0.1, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",0.339311,0.066996,-0.32081,0.4885,917,1456,-0.013206
