name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,2019,20190101,20191231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.374495,0.167129,-0.107378,0.7123,146,244,0.140285
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,2020,20200101,20201231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.029601,-0.133768,-0.149096,0.3043,92,243,-0.171042
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,2021,20210101,20211231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.070809,-0.050889,-0.084923,0.6038,106,243,-0.07212
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,2022,20220101,20221231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.136821,0.0252,-0.167488,0.375,168,242,-0.016672
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,2023,20230101,20231231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.048066,-0.020446,-0.136024,0.3926,163,242,-0.054452
all_credit_200bp_proxy,全体信用折价 +200bp 的旧对照近似，保留作基准,2024,20240101,20241231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.028578,0.032936,-0.170403,0.4727,256,242,-0.009665
normal_revalue,止损复查用原估值,2019,20190101,20191231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.401158,0.193792,-0.107353,0.6503,163,244,0.166954
normal_revalue,止损复查用原估值,2020,20200101,20201231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.082493,-0.18666,-0.173984,0.3158,76,243,-0.230156
normal_revalue,止损复查用原估值,2021,20210101,20211231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.111289,-0.010409,-0.081419,0.6463,82,243,-0.030764
normal_revalue,止损复查用原估值,2022,20220101,20221231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.145102,0.016919,-0.175389,0.3554,166,242,-0.026928
normal_revalue,止损复查用原估值,2023,20230101,20231231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.048087,-0.020467,-0.136024,0.3789,161,242,-0.054473
normal_revalue,止损复查用原估值,2024,20240101,20241231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.011423,0.015781,-0.165194,0.4661,251,242,-0.025518
source_bond10_option10_mixed_light,债底型债底打 9 折，期权型期权打 9 折，混合轻度压力,2019,20190101,20191231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.1, ""stress_bond_cut_mixed"": 0.05, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",0.382755,0.17539,-0.103516,0.7092,141,244,0.149511
source_bond10_option10_mixed_light,债底型债底打 9 折，期权型期权打 9 折，混合轻度压力,2020,20200101,20201231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.1, ""stress_bond_cut_mixed"": 0.05, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",-0.044863,-0.14903,-0.151163,0.3239,71,243,-0.186821
source_bond10_option10_mixed_light,债底型债底打 9 折，期权型期权打 9 折，混合轻度压力,2021,20210101,20211231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.1, ""stress_bond_cut_mixed"": 0.05, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",0.162491,0.040793,-0.103538,0.5862,116,243,0.014909
source_bond10_option10_mixed_light,债底型债底打 9 折，期权型期权打 9 折，混合轻度压力,2022,20220101,20221231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.1, ""stress_bond_cut_mixed"": 0.05, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",-0.141978,0.020043,-0.173448,0.2969,128,242,-0.023319
source_bond10_option10_mixed_light,债底型债底打 9 折，期权型期权打 9 折，混合轻度压力,2023,20230101,20231231,"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""source_stress_enabled"": 1.0, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""stress_bond_cut_bond"": 0.1, ""stress_bond_cut_mixed"": 0.05, ""stress_bond_cut_option"": 0.0, ""stress_option_cut_bond"": 0.0, ""stress_option_cut_mixed"": 0.05, ""stress_option_cut_option"": 0.1, ""switch_hurdle_pct"": 0.03}",-0.056699,-0.029079,-0.136155,0.4012,172,242,-0.063118
