name,period,source,count,avg_pnl_pct,sum_pnl_amount,wins,avg_option_share,avg_close_to_bond_floor,avg_moneyness_stock_to_conv,avg_remaining_maturity_years,avg_issue_size
baseline_full_universe,train,bond,3,0.004263,0.94,1,0.276725,0.779746,0.68997,5.400867,68.0
baseline_full_universe,train,mixed,9,0.049704,14421.48,4,0.532781,0.860224,0.800731,4.996882,62.886164
baseline_full_universe,train,option,616,0.015793,485058.01,291,0.997035,1.31875,1.425113,4.233593,12.817913
baseline_full_universe,validate,bond,11,0.057476,17639.2,10,0.205326,0.858119,0.563185,1.591189,26.494582
baseline_full_universe,validate,mixed,5,0.138329,16284.63,5,0.486912,0.885471,0.680389,2.55551,25.748
baseline_full_universe,validate,option,369,-0.007425,-95444.95,147,0.989876,1.279854,1.226856,3.471884,14.781575
baseline_full_universe,test,option,191,0.051628,729505.32,116,1.0,1.762356,1.395611,3.287385,26.326591
baseline_full_universe,2020,mixed,1,0.026624,397.19,1,0.408368,0.797683,0.778116,5.500342,68.0
baseline_full_universe,2020,option,74,-0.022383,-92630.91,21,1.0,1.318774,1.747065,4.850177,11.770579
exclude_far_above_bond_floor,train,bond,10,0.062403,18026.2,9,0.238354,0.945498,0.521523,1.350856,20.328
exclude_far_above_bond_floor,train,mixed,6,-0.000619,83.13,3,0.535447,0.96568,0.553763,2.12731,25.183333
exclude_far_above_bond_floor,train,option,489,0.004542,-24237.65,255,0.99663,1.183705,0.978894,3.542829,21.967348
exclude_far_above_bond_floor,validate,bond,12,0.071771,22758.09,10,0.224376,0.878072,0.59422,1.426648,25.541667
exclude_far_above_bond_floor,validate,mixed,7,0.063227,10443.35,5,0.500509,0.895483,0.642688,1.964212,12.587143
exclude_far_above_bond_floor,validate,option,344,0.00184,3554.05,141,0.994,1.286126,1.07777,3.856549,15.858826
exclude_far_above_bond_floor,test,option,207,0.045902,797179.55,133,1.0,1.848159,1.442365,3.604255,23.091986
exclude_far_above_bond_floor,2020,bond,1,0.02051,569.86,1,0.24885,0.95309,0.680238,0.580424,10.0
exclude_far_above_bond_floor,2020,mixed,1,-0.04779,-3.98,0,0.504698,0.862869,0.81155,5.615332,68.0
exclude_far_above_bond_floor,2020,option,86,-0.009735,-54485.54,46,0.996043,1.157022,1.082577,3.843433,14.280362
exclude_high_moneyness,train,bond,15,0.043837,25169.82,15,0.1196,0.951137,0.372881,1.405795,10.179433
exclude_high_moneyness,train,mixed,2,0.022905,1393.0,2,0.560312,0.966275,0.655523,0.703628,31.0
exclude_high_moneyness,train,option,608,0.010419,217952.4,316,0.996734,1.265296,0.938725,4.139671,16.224482
exclude_high_moneyness,validate,bond,8,0.106472,33090.43,8,0.20012,0.870535,0.555509,1.733744,19.0625
exclude_high_moneyness,validate,mixed,6,0.063324,9495.28,5,0.496394,0.904948,0.614111,1.947068,8.858633
exclude_high_moneyness,validate,option,331,-0.000734,-20144.1,142,0.995378,1.338486,1.085945,4.059025,14.430253
exclude_high_moneyness,test,option,214,0.047632,673190.52,129,1.0,1.751569,1.361711,3.437282,25.267367
exclude_high_moneyness,2020,bond,1,0.003695,104.67,1,0.182769,0.9425,0.397318,1.735797,1.85
exclude_high_moneyness,2020,option,99,0.003068,-31036.14,55,0.994412,1.205437,0.921829,3.959513,13.544309
exclude_short_maturity,train,bond,2,-0.003283,-0.53,0,0.368789,0.885149,0.488832,3.891855,7.46
exclude_short_maturity,train,mixed,5,0.000765,-1383.66,2,0.511923,0.841876,0.783587,5.397947,68.0
exclude_short_maturity,train,option,539,0.011335,148894.78,257,0.999892,1.344156,1.44654,4.616179,15.394927
exclude_short_maturity,validate,bond,11,0.057476,17639.2,10,0.205326,0.858119,0.563185,1.591189,26.494582
exclude_short_maturity,validate,mixed,5,0.138329,16284.63,5,0.486912,0.885471,0.680389,2.55551,25.748
exclude_short_maturity,validate,option,369,-0.007425,-95444.95,147,0.989876,1.279854,1.226856,3.471884,14.781575
exclude_short_maturity,test,option,191,0.051628,729505.32,116,1.0,1.762356,1.395611,3.287385,26.326591
exclude_short_maturity,2020,mixed,2,-0.004475,698.8,1,0.456533,0.830276,0.794833,5.557837,68.0
exclude_short_maturity,2020,option,94,-0.020336,-104250.13,32,0.999952,1.323246,1.627735,5.029636,11.775085
exclude_small_size,train,bond,3,0.058751,6255.75,3,0.186034,0.935117,0.496789,1.270363,23.266667
exclude_small_size,train,mixed,7,0.051642,14525.93,5,0.513571,0.921675,0.675852,2.415176,34.282211
exclude_small_size,train,option,481,0.018841,230696.05,238,0.998625,1.343473,1.289133,4.210131,24.77824
exclude_small_size,validate,bond,10,0.116274,29584.04,9,0.234977,0.875554,0.576628,1.402053,32.786108
exclude_small_size,validate,mixed,4,0.050147,4180.55,2,0.480846,0.910874,0.638898,3.416153,34.25
exclude_small_size,validate,option,309,-0.007675,-80503.05,121,0.984599,1.270338,1.153928,3.48469,24.611667
exclude_small_size,test,option,176,0.028928,361946.49,96,1.0,1.474531,1.186388,2.956272,42.826445
exclude_small_size,2020,mixed,1,-0.037376,-255.74,0,0.445226,0.851655,0.784195,5.538672,68.0
exclude_small_size,2020,option,75,0.014659,-17482.28,33,0.999806,1.308954,1.336799,4.511358,21.080544
combined_lowrisk_universe,train,option,400,-0.000436,-63544.02,194,0.999081,1.226637,0.837807,4.251348,35.380013
combined_lowrisk_universe,validate,bond,7,0.089258,20169.55,7,0.197722,0.886006,0.550016,1.817933,20.357143
combined_lowrisk_universe,validate,mixed,7,0.056871,9846.83,6,0.472131,0.924005,0.592461,1.467879,10.6205
combined_lowrisk_universe,validate,option,321,-0.001283,-15137.1,137,0.995353,1.300468,1.018102,4.077163,16.654245
combined_lowrisk_universe,test,option,207,0.04624,802939.53,133,1.0,1.846633,1.438518,3.621026,23.079909
combined_lowrisk_universe,2020,option,89,-0.007407,-53416.24,40,1.0,1.204908,0.789173,4.474786,22.842774
