name,description,period,start,end,excluded_count,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
baseline_full_universe,Full current universe control.,2019,20190101,20191231,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.379211,0.171845,-0.107991,0.5854,164,244,0.144847
baseline_full_universe,Full current universe control.,2020,20200101,20201231,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
baseline_full_universe,Full current universe control.,2021,20210101,20211231,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.06207,-0.059628,-0.092588,0.5583,120,243,-0.082775
baseline_full_universe,Full current universe control.,2022,20220101,20221231,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.154715,0.007306,-0.182667,0.3235,170,242,-0.038361
baseline_full_universe,Full current universe control.,2023,20230101,20231231,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.060919,-0.033299,-0.143572,0.354,161,242,-0.069192
baseline_full_universe,Full current universe control.,2024,20240101,20241231,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.010761,-0.006403,-0.176414,0.4542,251,242,-0.050506
baseline_full_universe,Full current universe control.,2025,20250101,20251231,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.347754,0.109665,-0.097762,0.5849,106,243,0.085224
baseline_full_universe,Full current universe control.,2026,20260101,20260508,0,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.290149,0.21761,-0.060622,0.5895,95,80,0.202455
exclude_far_above_bond_floor,Exclude CBs whose train-window close/bond_floor ever exceeds 1.5.,2019,20190101,20191231,355,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.059323,-0.148043,-0.130629,0.6644,146,244,-0.1807
exclude_far_above_bond_floor,Exclude CBs whose train-window close/bond_floor ever exceeds 1.5.,2020,20200101,20201231,355,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.052278,-0.156445,-0.120805,0.5341,88,243,-0.186646
