name,description,period,start,end,scaling_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score,spec_run_id,spec_binding_hash
baseline_no_scaling,基准：不调整波动率缩放,train,20190101,20241231,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.403678,0.131363,-0.324048,0.4533,986,1456,0.050351,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
baseline_no_scaling,基准：不调整波动率缩放,test,20250101,20260508,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.732025,0.37976,-0.097762,0.6073,191,323,0.35532,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.25903,-0.013284,-0.285536,0.4699,896,1456,-0.084668,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.622784,0.270519,-0.092876,0.6114,193,323,0.2473,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.221053,-0.051261,-0.24885,0.4878,945,1456,-0.113474,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.552947,0.200682,-0.085763,0.6106,208,323,0.179241,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.107885,-0.16443,-0.250123,0.4334,2102,1456,-0.226961,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.302584,-0.049681,-0.064362,0.5798,326,323,-0.065772,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.261529,-0.010786,-0.284533,0.4761,920,1456,-0.081919,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.68929,0.337025,-0.095668,0.6019,216,323,0.313108,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb20_beta1p0,"波动率缩放 lookback=20 天, beta=1.0",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.245715,-0.0266,-0.249329,0.4868,906,1456,-0.088932,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb20_beta1p0,"波动率缩放 lookback=20 天, beta=1.0",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.517188,0.164923,-0.091415,0.6154,221,323,0.142069,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb20_beta2p0,"波动率缩放 lookback=20 天, beta=2.0",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.243934,-0.028381,-0.183368,0.4524,1587,1456,-0.074223,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb20_beta2p0,"波动率缩放 lookback=20 天, beta=2.0",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.354791,0.002526,-0.068682,0.5851,282,323,-0.014645,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb30_beta0p5,"波动率缩放 lookback=30 天, beta=0.5",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=30 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb30_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 30}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.329869,0.057555,-0.284103,0.4776,915,1456,-0.013471,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb30_beta0p5,"波动率缩放 lookback=30 天, beta=0.5",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=30 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb30_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 30}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.640934,0.288669,-0.095668,0.5971,206,323,0.264752,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb30_beta1p0,"波动率缩放 lookback=30 天, beta=1.0",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=30 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb30_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 30}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.234405,-0.037909,-0.249173,0.4789,902,1456,-0.100202,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb30_beta1p0,"波动率缩放 lookback=30 天, beta=1.0",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=30 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb30_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 30}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.543632,0.191367,-0.092314,0.6165,206,323,0.168289,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb30_beta2p0,"波动率缩放 lookback=30 天, beta=2.0",train,20190101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=30 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb30_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 30}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.226647,-0.045667,-0.201014,0.447,1501,1456,-0.09592,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
vol_scale_lb30_beta2p0,"波动率缩放 lookback=30 天, beta=2.0",test,20250101,20260508,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=30 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb30_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 30}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.344532,-0.007733,-0.06115,0.5816,239,323,-0.02302,cb_arb_value_gap_switch_volatility_position_scaling_v1,789a993de5989aae
