name,description,period,start,end,scaling_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
baseline_no_scaling,基准：不调整波动率缩放,2019,20190101,20191231,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.379211,0.171845,-0.107991,0.5854,164,244,0.144847
baseline_no_scaling,基准：不调整波动率缩放,2020,20200101,20201231,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
baseline_no_scaling,基准：不调整波动率缩放,2021,20210101,20211231,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.06207,-0.059628,-0.092588,0.5583,120,243,-0.082775
baseline_no_scaling,基准：不调整波动率缩放,2022,20220101,20221231,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.154715,0.007306,-0.182667,0.3235,170,242,-0.038361
baseline_no_scaling,基准：不调整波动率缩放,2023,20230101,20231231,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.060919,-0.033299,-0.143572,0.354,161,242,-0.069192
baseline_no_scaling,基准：不调整波动率缩放,2024,20240101,20241231,"{""description"": ""\u57fa\u51c6\uff1a\u4e0d\u8c03\u6574\u6ce2\u52a8\u7387\u7f29\u653e"", ""mode"": ""none"", ""name"": ""baseline_no_scaling""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.010761,-0.006403,-0.176414,0.4542,251,242,-0.050506
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",2019,20190101,20191231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.287664,0.080298,-0.130849,0.6364,143,244,0.047586
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",2020,20200101,20201231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.10291,-0.207077,-0.178028,0.3626,91,243,-0.251584
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",2021,20210101,20211231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.104639,-0.01706,-0.078615,0.6809,94,243,-0.036714
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",2022,20220101,20221231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.114398,0.047623,-0.128062,0.3333,180,242,0.015607
