bond_id,name,meeting_date,before_price,after_price,event_close,T1_ret,T5_ret,T10_ret,T20_ret,T30_ret,T40_ret,T60_ret
111019,宏柏转债,2024-08-06,7.530,5.450,103.71,1.78,2.59,0.32,2.15,-0.49,11.05,15.32
123240,楚天转债,2024-10-31,8.050,8.000,108.77,-2.09,5.72,3.21,6.06,12.43,3.89,5.91
123240,楚天转债,2024-06-25,10.000,8.150,114.16,2.28,2.21,-3.07,-5.71,-3.09,-9.86,-15.65
123237,佳禾转债,2024-07-15,21.600,13.580,109.55,0.32,-1.89,-1.35,-3.3,-2.79,-2.25,14.34
123236,家联转债,2025-05-16,18.490,15.330,119.8,1.0,0.33,-0.97,2.84,2.38,9.42,19.53
123238,卡倍转02,2024-03-27,49.010,41.430,161.0,1.86,-13.66,-15.53,-9.94,-5.34,7.11,1.86
127099,盛航转债,2024-09-09,19.110,15.600,111.04,2.62,-1.31,6.72,8.26,35.99,30.06,15.49
123234,中能转债,2024-09-30,6.400,5.500,116.27,8.23,-2.69,-0.34,-2.55,-1.1,3.55,6.56
127098,欧晶转债,2024-10-11,44.710,42.000,105.4,-4.25,-3.7,0.43,0.13,0.82,1.37,0.78
123230,金钟转债,2024-11-07,28.880,24.500,119.6,-1.03,-2.17,-3.04,-0.4,-1.22,-4.52,2.36
123227,雅创转债,2024-06-27,53.340,45.220,123.18,0.99,-7.06,0.58,-3.46,-1.53,-6.97,-7.99
123228,震裕转债,2024-03-13,61.570,54.580,113.7,2.28,6.22,0.02,12.4,11.0,14.6,9.5
113678,中贝转债,2024-07-11,32.880,27.450,120.32,0.07,-1.66,-5.5,-3.5,-7.29,-5.27,-0.27
123226,中富转债,2024-05-17,36.440,27.930,122.58,0.51,-0.42,0.51,6.34,5.65,-1.1,-10.35
123225,翔丰转债,2024-03-12,33.630,27.800,114.99,2.53,2.97,6.97,25.23,10.97,11.6,6.49
118045,盟升转债,2024-09-27,35.020,21.100,106.88,7.08,14.88,25.74,30.03,67.8,63.91,69.0
118044,赛特转债,2024-10-24,24.200,19.000,119.38,-5.05,-10.46,-8.52,-8.74,-5.95,-6.88,-6.01
123224,宇邦转债,2024-05-13,52.900,37.210,120.2,2.8,1.8,1.5,-1.58,-8.63,-12.48,-10.81
113676,荣23转债,2024-01-17,15.740,12.060,118.6,-0.51,-2.69,-5.12,-1.62,-3.71,0.17,-2.29
123220,易瑞转债,2024-09-18,12.870,8.890,90.8,2.97,6.94,20.19,25.06,25.31,26.62,32.84
127091,科数转债,2024-10-28,34.550,27.650,118.5,-1.1,-0.84,0.81,-4.3,-2.87,4.47,12.49
123219,宇瞳转债,2024-03-28,15.320,12.500,117.5,0.43,4.34,4.18,10.75,8.77,6.92,7.43
123218,宏昌转债,2024-03-11,29.620,28.000,112.03,-2.62,-0.81,-0.39,-0.39,1.13,10.68,5.53
110095,双良转债,2025-03-25,7.200,6.180,117.57,-0.8,-2.78,-11.75,-15.33,-12.66,-15.45,-13.74
123216,科顺转债,2024-06-27,10.260,7.000,93.98,1.48,2.17,2.1,0.23,0.34,-2.06,-15.52
123215,铭利转债,2025-01-03,37.420,19.200,112.85,0.16,0.65,2.89,4.44,8.37,17.86,0.77
113068,金铜转债,2024-08-26,6.630,5.900,98.74,-1.76,0.36,0.59,4.22,6.32,7.46,10.97
123212,立中转债,2024-07-04,23.300,19.090,117.3,-0.09,2.3,-1.1,-2.29,-10.14,-12.71,-3.32
118040,宏微转债,2024-01-29,62.350,40.000,113.0,-1.18,-7.45,-1.72,-0.97,0.89,-3.5,-8.09
123208,孩王转债,2024-02-23,11.640,7.180,113.74,2.07,4.98,1.81,3.18,0.26,-2.49,1.9
113673,岱美转债,2024-03-15,15.720,13.310,122.32,-1.16,-2.01,-3.22,-4.78,3.2,2.4,0.17
127089,晶澳转债,2025-07-22,38.220,11.660,115.28,6.26,7.56,6.3,9.61,6.75,11.17,10.45
123207,冠中转债,2024-02-26,16.560,10.500,109.7,4.56,3.29,2.46,3.82,3.67,-1.21,1.48
123205,大叶转债,2024-03-06,20.010,11.190,113.88,1.7,3.49,9.54,10.74,3.43,14.77,8.98
118038,金宏转债,2024-10-14,26.970,19.070,113.9,1.45,7.73,7.47,8.84,3.61,4.44,3.74
123204,金丹转债,2024-03-08,20.940,15.080,109.0,4.04,9.54,10.36,11.26,4.59,20.42,9.82
110094,众和转债,2024-02-02,8.200,7.040,111.93,0.47,8.68,7.56,9.26,11.79,14.7,15.73
111015,东亚转债,2024-04-01,24.950,20.600,120.46,3.06,7.78,7.77,13.09,7.22,-1.45,-1.9
118037,上声转债,2024-06-06,47.540,29.580,116.9,1.31,5.46,1.62,-0.47,-2.98,-7.87,-8.77
123203,明电转02,2024-05-07,14.750,12.090,119.02,1.26,-0.5,0.56,-0.47,15.25,5.16,0.99
123202,祥源转债,2024-08-15,19.210,15.180,107.0,0.62,-0.72,4.66,0.3,10.75,15.2,30.29
118036,力合转债,2025-02-26,36.080,29.000,128.27,0.48,1.16,-0.09,-3.73,-3.61,-3.72,-6.89
127087,星帅转2,2024-07-18,13.260,8.100,108.08,4.09,2.24,8.72,3.85,0.85,-0.91,10.43
123199,山河转债,2024-05-16,18.250,13.850,168.0,-18.45,-10.71,-24.68,-25.82,-29.97,-31.67,-34.13
123198,金埔转债,2024-09-05,12.110,7.600,96.75,0.71,1.96,-0.51,22.38,24.6,27.78,27.36
123196,正元转02,2023-12-05,32.800,21.990,117.3,-0.3,1.37,-1.96,-2.48,-6.99,-11.5,-11.97
123190,道氏转02,2024-11-04,15.030,12.930,110.2,4.81,19.33,12.55,18.65,13.64,13.34,14.68
123191,智尚转债,2024-05-28,12.170,9.520,117.8,3.4,18.96,7.52,3.27,-2.58,-7.57,-13.92
123185,能辉转债,2024-11-26,28.000,22.660,114.68,0.71,2.57,2.9,1.55,-0.36,1.9,4.9
123186,志特转债,2025-01-20,18.000,12.500,118.2,4.06,5.35,8.38,19.8,25.04,30.3,30.18
113668,鹿山转债,2024-07-22,58.680,22.980,98.85,6.25,9.29,14.66,9.49,14.73,10.43,33.21
113066,平煤转债,2023-07-24,10.920,9.060,115.56,0.88,3.51,1.78,0.28,8.48,10.76,7.3
123184,天阳转债,2024-02-26,14.920,11.880,119.0,1.67,1.76,0.0,2.45,-2.35,-2.02,3.51
123178,花园转债,2024-05-16,15.050,13.560,118.88,-1.26,-3.33,-2.0,-0.24,4.14,2.03,0.52
127081,中旗转债,2024-07-10,30.020,20.700,110.1,5.88,-0.66,24.89,3.68,-2.25,0.27,2.78
123174,精锻转债,2025-01-10,12.760,9.500,118.18,1.5,5.26,9.99,13.11,12.97,39.38,16.61
123175,百畅转债,2024-01-22,24.000,20.400,108.9,-2.97,-3.98,-15.88,-9.37,-11.52,-12.18,-15.99
118031,天23转债,2025-08-14,25.000,16.000,119.3,2.37,5.55,2.07,5.28,4.58,5.25,11.13
123172,漱玉转债,2024-03-06,21.160,15.000,115.45,0.48,2.12,4.81,1.34,-1.06,1.55,-0.37
127079,华亚转债,2025-02-21,52.920,43.300,127.02,1.25,0.28,3.57,1.56,-3.24,6.38,3.26
118029,富淼转债,2024-12-16,19.770,18.430,113.98,-5.7,-3.85,-5.54,-4.67,1.17,1.23,-1.15
113065,齐鲁转债,2023-02-03,5.870,5.680,98.86,0.05,0.84,0.24,0.41,0.53,-0.45,0.65
127077,华宏转债,2024-05-17,13.920,11.140,116.7,0.47,-2.08,-2.19,-7.88,-17.06,-24.59,-27.85
113663,新化转债,2024-09-18,31.420,20.250,107.44,3.1,9.2,14.17,19.33,16.65,17.5,20.68
123170,南电转债,2024-06-06,33.860,27.080,122.62,2.83,5.2,5.18,2.27,4.71,1.22,-1.25
113661,福22转债,2025-03-13,32.940,15.000,122.26,2.15,1.16,0.89,-4.73,-5.66,-3.7,-3.75
111010,立昂转债,2024-04-30,44.960,33.580,109.28,-1.42,0.26,-1.25,0.25,2.95,0.34,-3.08
123166,蒙泰转债,2024-11-06,25.750,23.470,114.2,2.12,4.95,3.63,5.53,10.16,10.46,14.97
118025,奕瑞转债,2023-11-24,354.540,230.000,117.29,4.71,4.68,7.68,9.68,11.74,5.88,8.62
118026,利元转债,2024-09-02,45.000,21.000,82.65,9.08,10.44,4.62,36.77,39.4,37.02,49.88
127075,百川转2,2025-05-14,8.180,7.530,117.75,0.34,0.55,-1.7,-1.3,-0.55,-2.42,1.73
123161,强联转债,2024-10-24,40.260,21.890,114.5,5.71,6.29,9.61,9.7,9.61,3.84,3.66
118023,广大转债,2025-03-06,32.960,21.200,119.0,3.37,4.87,4.96,5.09,3.52,7.34,8.09
111007,永和转债,2024-08-05,23.680,20.130,112.8,-0.7,-1.07,-6.49,-6.19,-6.74,2.4,5.11
123160,泰福转债,2023-05-15,23.400,19.890,117.7,-0.66,0.5,-0.68,0.82,1.85,3.2,5.14
113657,再22转债,2025-01-06,5.910,4.250,112.18,-0.16,-0.97,1.35,5.19,4.29,3.1,-0.54
110089,兴发转债,2023-08-09,38.550,30.000,115.79,-0.95,-1.66,-2.17,-0.74,-4.15,-4.71,-5.47
127073,天赐转债,2023-11-14,48.250,28.880,115.25,4.82,4.42,-0.17,-0.96,-2.39,-2.03,-7.06
113658,密卫转债,2024-05-06,134.110,57.000,114.57,9.48,11.95,14.14,15.87,10.55,5.33,0.6
123156,博汇转债,2025-04-17,10.690,8.000,118.8,0.84,4.2,6.99,12.39,12.72,10.59,55.7
127068,顺博转债,2023-07-03,20.380,16.000,114.0,-3.51,-3.59,-3.51,0.18,-2.49,-4.13,-3.07
113654,永02转债,2024-09-11,13.860,9.700,98.48,-3.12,-3.28,3.18,5.25,4.1,8.14,18.88
113653,永22转债,2025-09-23,22.300,16.500,125.85,1.51,4.11,4.57,5.01,8.86,5.02,10.54
113655,欧22转债,2025-08-22,118.480,54.000,128.63,4.04,0.21,1.72,0.27,0.9,1.38,1.05
113652,伟22转债,2024-05-31,32.560,28.000,116.66,-3.29,-2.28,-1.82,-3.16,-5.19,-8.78,-10.05
118014,高测转债,2025-06-09,35.660,10.500,117.14,2.9,2.5,2.55,5.93,14.26,24.87,22.9
118008,海优转债,2025-04-21,69.980,46.800,111.69,-0.64,-0.04,5.39,7.4,5.62,4.07,11.16
110087,天业转债,2025-09-01,6.780,5.600,122.83,-3.32,-0.92,-2.47,-2.3,-2.66,-0.9,1.06
123147,中辰转债,2024-05-13,7.780,6.500,116.6,2.26,1.5,2.24,-2.2,-5.69,-3.24,-9.39
127064,杭氧转债,2025-06-17,26.590,25.980,123.02,-3.43,-2.89,-2.11,0.34,1.72,2.99,6.15
123146,中环转2,2024-05-15,7.420,6.300,111.79,-0.86,-1.44,-3.39,-8.07,-17.72,-16.95,-20.55
123145,药石转债,2024-05-27,81.440,34.200,113.57,4.25,4.38,4.94,-0.06,0.8,0.82,-7.91
127061,美锦转债,2024-06-25,12.930,5.260,95.9,2.16,0.79,-2.8,-7.1,-6.26,-12.16,-11.11
113058,友发转债,2024-07-10,6.290,5.070,109.12,0.21,2.5,0.62,5.95,-2.91,0.74,4.3
113643,风语转债,2025-05-07,15.030,12.020,123.32,-0.26,-1.27,-1.84,-1.69,-3.64,-0.8,2.01
