bond_code,bond_name,meeting_date,ratio,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48,T+49,T+50,T+51,T+52,T+53,T+54,T+55,T+56,T+57,T+58,T+59,T+60
110030,格力转债,2019-09-27,0.7204610951008645,110.27,112.69,112.0,111.51,111.77,112.2,112.62,111.33,110.61,109.6,109.86,109.63,109.97,109.72,108.88,109.07,108.71,108.08,108.19,107.7,108.29,108.45,108.29,108.18,108.25,108.0,107.34,106.99,107.01,106.45,106.44,105.82,105.99,105.79,105.67,105.78,105.99,105.85,105.74,105.72,105.69,105.62,105.64,105.64,105.68,105.66,105.67,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,,,
110031,航信转债,2019-12-25,0.5195517405817835,115.8,120.11,120.5,122.49,124.45,126.0,126.8,126.95,127.7,124.68,125.7,125.21,125.38,126.3,124.56,125.4,125.01,126.65,126.38,128.11,125.89,119.6,122.1,123.3,123.17,123.7,123.5,123.53,124.07,126.01,126.6,128.11,128.74,129.0,129.33,130.6,131.3,130.6,128.51,132.18,127.03,129.35,132.01,131.59,133.0,131.2,129.88,132.69,131.83,129.0,127.49,123.4,122.0,121.93,119.4,122.29,119.63,119.0,119.09,118.72,119.42
110038,济川转债,2020-03-02,0.6570471527956712,119.75,119.75,119.29,119.03,120.01,118.3,117.01,118.0,116.6,116.26,115.87,115.8,115.66,115.1,116.56,115.46,115.0,116.57,118.24,117.04,116.21,116.18,116.1,115.78,115.8,116.03,116.3,116.26,115.4,115.01,115.15,115.3,115.55,115.91,115.92,115.79,115.33,115.34,114.77,115.01,115.18,114.0,115.15,115.21,114.35,114.42,116.07,115.12,114.57,113.51,112.0,111.65,111.15,109.5,109.68,109.79,109.97,111.11,111.6,111.66,111.85
110044,广电转债,2024-06-03,0.6466275659824047,115.197,122.401,116.492,110.958,113.368,110.597,110.854,110.691,108.725,108.228,107.877,107.888,107.907,107.91,107.91,107.91,107.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110045,海澜转债,2021-04-26,0.6212765957446809,104.69,105.3,108.39,109.25,109.65,109.19,107.42,108.67,108.22,108.82,110.3,109.89,109.72,109.25,109.97,109.33,108.44,108.5,108.7,109.51,110.09,109.02,108.66,108.68,108.27,111.7,111.48,110.33,110.15,112.9,112.86,114.33,112.61,111.83,110.7,112.84,111.1,110.71,110.6,110.56,111.18,111.2,113.91,112.25,113.5,113.01,113.31,113.01,115.01,115.79,115.15,115.09,114.98,114.85,115.54,118.89,118.66,117.3,118.17,118.37,117.54
110047,山鹰转债,2024-09-26,0.6844444444444444,103.948,109.052,114.724,119.739,115.309,114.947,113.0,113.694,113.0,112.996,112.557,112.652,116.675,114.983,115.369,115.951,116.385,118.45,116.961,115.608,118.484,119.935,122.752,126.957,127.904,136.374,132.366,132.178,131.463,127.216,125.241,117.805,117.805,117.805,117.805,,,,,,,,,,,,,,,,,,,,,,,,,,
110056,亨通转债,2019-11-22,0.7245841035120147,108.52,109.64,110.74,112.05,111.17,110.98,112.13,111.0,110.02,110.1,111.07,111.73,112.91,113.63,113.63,115.01,116.86,118.81,118.8,119.1,117.65,115.0,115.6,116.4,118.01,115.78,116.23,118.5,120.75,120.66,121.5,124.3,124.0,127.0,125.98,126.1,125.64,124.14,123.42,122.7,127.0,125.16,125.86,120.63,113.7,116.0,118.32,117.72,117.81,119.0,121.06,120.83,120.33,121.52,123.09,122.28,123.74,125.0,126.08,130.22,132.19
110058,永鼎转债,2024-07-05,0.75,114.648,112.282,117.006,117.452,118.997,117.981,115.865,117.913,115.594,116.886,116.291,115.106,113.418,111.799,112.226,113.246,115.273,114.248,116.482,115.812,117.572,113.962,114.882,119.459,116.768,117.02,115.253,114.318,120.578,117.152,115.362,117.165,115.439,114.46,112.849,115.073,114.624,112.091,112.662,113.711,114.693,113.774,113.779,112.942,114.079,113.023,112.62,113.085,112.68,112.786,112.515,111.291,112.388,112.047,112.569,114.834,115.118,116.579,118.397,122.402,128.667
110072,广汇转债,2024-05-21,0.3722084367245657,98.421,100.243,99.305,98.547,97.199,97.207,96.183,96.269,95.898,78.713,88.143,88.652,85.657,87.992,85.863,86.734,85.528,86.042,84.156,79.804,77.898,71.928,57.542,46.034,38.437,46.124,48.309,54.018,64.762,77.714,72.474,76.153,72.813,68.887,56.656,56.055,67.266,79.319,71.511,57.209,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,45.767,44.267
110081,闻泰转债,2026-04-08,0.7490825688073394,115.203,113.746,110.621,110.061,107.529,105.844,104.262,99.959,98.845,93.106,95.006,94.181,92.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110081,闻泰转债,2024-11-08,0.45186029640377245,114.035,121.64,120.63,119.905,117.2,114.235,113.462,113.936,114.643,113.598,113.298,112.37,112.226,114.038,113.653,114.051,108.278,109.682,108.607,108.89,109.999,109.85,111.067,111.265,112.75,112.548,110.697,109.187,109.341,110.929,111.556,109.609,110.108,109.346,109.804,109.847,110.062,113.839,112.105,110.427,109.319,109.892,109.414,109.9,109.239,109.244,110.112,110.073,110.029,110.197,111.941,113.3,113.103,113.479,116.0,114.004,115.397,116.081,117.184,116.864,116.529
110082,宏发转债,2024-11-01,0.6397466349960411,116.046,120.204,120.642,121.883,121.472,121.667,121.713,121.152,120.611,120.073,119.442,118.004,119.541,121.073,121.119,120.073,119.363,119.769,121.826,121.979,121.61,121.845,121.533,120.803,120.386,120.748,121.038,122.016,122.719,123.155,122.175,120.89,120.7,120.88,121.412,122.349,120.706,121.538,121.5,121.729,123.001,124.217,123.228,122.37,122.195,121.73,122.589,122.612,122.111,122.664,123.742,125.522,125.392,124.503,125.495,126.175,127.779,127.51,127.498,128.997,128.029
110084,贵燃转债,2022-05-13,0.7099311701081612,116.11,117.24,116.74,116.32,116.23,117.2,117.77,115.63,116.47,117.11,116.01,115.83,116.31,116.49,116.5,117.21,117.73,127.01,131.59,133.72,123.11,129.48,129.02,126.02,125.41,124.38,122.86,122.36,122.83,122.63,123.03,123.45,123.11,123.53,123.6,124.79,126.39,123.11,122.12,124.46,122.45,122.55,120.95,120.8,118.02,117.96,119.28,120.65,122.31,123.06,122.06,123.07,125.89,126.88,124.7,124.52,121.43,120.47,120.76,120.67,121.35
110095,双良转债,2024-10-25,0.6096528365791701,95.464,99.994,106.689,106.698,117.797,110.142,109.957,112.099,102.071,103.857,106.595,105.236,104.583,102.774,101.125,97.977,94.46,95.303,98.092,103.873,102.247,101.163,100.944,100.848,102.712,108.009,109.855,106.327,104.953,106.207,105.182,106.017,105.879,107.021,108.294,106.861,105.911,104.685,104.654,103.429,104.522,103.276,104.319,104.209,104.649,104.717,103.011,101.285,100.188,96.577,95.937,98.19,96.81,102.282,99.131,98.268,102.503,104.021,103.39,103.7,105.43
111010,立昂转债,2024-04-30,0.7468861209964412,109.285,107.733,108.43,108.52,109.689,109.567,109.295,109.077,108.262,107.98,107.918,108.083,107.592,108.268,107.332,107.042,107.632,107.531,107.993,109.326,109.559,109.498,108.099,109.12,109.994,109.404,111.821,112.187,112.256,112.232,112.504,113.424,112.564,111.461,110.22,107.554,106.602,109.511,109.776,110.668,109.653,109.005,109.385,108.351,108.63,107.404,109.201,109.404,110.437,110.154,109.679,109.534,108.304,108.25,110.06,108.67,107.3,105.786,105.614,106.727,105.924
