ts_code,bond_short_name,stk_code,stk_short_name,issue_size,remain_size,conv_price,value_date,maturity_date,list_date,_updated_at
123015.SZ,蓝盾转退,300297.SZ,蓝盾退,538000000,99994800.0,0.84,20180813,20240813,20180913,2026-04-25T04:57:43.374312
128044.SZ,岭南转债,002717.SZ,ST岭南,660000000,359091200.0,1.4,20180814,20240814,20180904,2026-04-25T04:57:43.374312
128085.SZ,鸿达转债,002002.SZ,ST鸿达,2426780000,336867100.0,3.91,20191216,20251216,20200108,2026-04-25T04:57:43.374312
124002.SZ,华铭定转,300462.SZ,ST华铭,100000000,15851288.4,14.03,20191224,20251224,,2026-04-25T04:57:43.374312
128100.SZ,搜特转债,002503.SZ,*ST搜特,800000000,784038400.0,1.6,20200312,20260312,20200409,2026-04-25T04:57:43.374312
113575.SH,东时转债,603377.SH,ST东时,428000000,62400000.0,4.42,20200409,20260409,20200430,2026-04-25T04:57:43.374312
128108.SZ,蓝帆转债,002382.SZ,蓝帆医疗,3144040000,1520087100.0,7.95,20200528,20260528,20200619,2026-04-25T04:57:43.374312
127017.SZ,万青转债,000789.SZ,万年青,1000000000,999541100.0,8.53,20200603,20260603,20200702,2026-04-25T04:57:43.374312
113584.SH,家悦转债,603708.SH,家家悦,645000000,644839000.0,12.45,20200605,20260605,20200624,2026-04-25T04:57:43.374312
123054.SZ,思特转债,300608.SZ,思特奇,271000000,166657500.0,9.88,20200610,20260610,20200706,2026-04-25T04:57:43.374312
128114.SZ,正邦转债,002157.SZ,正邦科技,1600000000,29159300.0,3.06,20200617,20260617,20200715,2026-04-25T04:57:43.374312
113588.SH,润达转债,603108.SH,润达医疗,550000000,233756016.63,12.97,20200617,20260617,20200713,2026-04-25T04:57:43.374312
113589.SH,天创转债,603608.SH,天创时尚,600000000,66309058.74,12.29,20200624,20260624,20200716,2026-04-25T04:57:43.374312
127018.SZ,本钢转债,000761.SZ,本钢板材,6800000000,5630935100.0,3.29,20200629,20260629,20200804,2026-04-25T04:57:43.374312
128119.SZ,龙大转债,002726.SZ,龙大美食,950000000,945913600.0,4.2,20200713,20260713,20200807,2026-04-25T04:57:43.374312
123059.SZ,银信转债,300231.SZ,银信科技,391400000,156883800.0,9.15,20200715,20260715,20200812,2026-04-25T04:57:43.374312
128121.SZ,宏川转债,002930.SZ,宏川智慧,670000000,652029100.0,12.65,20200717,20260717,20200807,2026-04-25T04:57:43.374312
123061.SZ,航新转债,300424.SZ,航新科技,250000000,167411600.0,14.82,20200722,20260722,20200818,2026-04-25T04:57:43.374312
113037.SH,紫银转债,601860.SH,紫金银行,4500000000,4499499005.6,3.6,20200723,20260723,20200817,2026-04-25T04:57:43.374312
110073.SH,国投转债,600061.SH,国投资本,8000000000,7999107019.64,9.42,20200724,20260724,20200820,2026-04-25T04:57:43.374312
128124.SZ,科华转债,002022.SZ,科华生物,738000000,224530900.0,20.64,20200728,20260728,20200820,2026-04-25T04:57:43.374312
113597.SH,佳力转债,603912.SH,佳力图,300000000,297046038.52,8.68,20200730,20260730,20200821,2026-04-25T04:57:43.374312
128125.SZ,华阳转债,002949.SZ,华阳国际,450000000,449605100.0,14.39,20200730,20260730,20200821,2026-04-25T04:57:43.374312
110072.SH,广汇转债,600297.SH,广汇汽车,3370000000,2881556000.0,1.5,20200818,20260818,20200915,2026-04-25T04:57:43.374312
110074.SH,精达转债,600577.SH,精达股份,787000000,263739000.68,3.32,20200819,20260819,20200921,2026-04-25T04:57:43.374312
128127.SZ,文科转债,002775.SZ,文科股份,950000000,803608700.0,4.42,20200820,20260820,20200911,2026-04-25T04:57:43.374312
128128.SZ,齐翔转2,002408.SZ,齐翔腾达,2990000000,679222900.0,5.37,20200820,20260820,20200915,2026-04-25T04:57:43.374312
113039.SH,嘉泽转债,601619.SH,嘉泽新能,1300000000,286552013.63,2.91,20200824,20260824,20200917,2026-04-25T04:57:43.374312
128129.SZ,青农转债,002958.SZ,青农商行,5000000000,4999657900.0,4.0,20200825,20260825,20200918,2026-04-25T04:57:43.374312
123064.SZ,万孚转债,300482.SZ,万孚生物,600000000,597661000.0,21.1,20200901,20260901,20200923,2026-04-25T04:57:43.374312
123065.SZ,宝莱转债,300246.SZ,宝莱特,219000000,218033700.0,23.8,20200904,20260904,20200924,2026-04-25T04:57:43.374312
128134.SZ,鸿路转债,002541.SZ,鸿路钢构,1880000000,1572569800.0,21.99,20201009,20261009,20201102,2026-04-25T04:57:43.374312
110075.SH,南航转债,600029.SH,南方航空,16000000000,5895947000.46,6.17,20201015,20261015,20201103,2026-04-25T04:57:43.374312
128135.SZ,洽洽转债,002557.SZ,洽洽食品,1340000000,1339837200.0,55.93,20201020,20261020,20201118,2026-04-25T04:57:43.374312
123071.SZ,天能转债,300569.SZ,天能重工,700000000,693664400.0,6.7,20201021,20261021,20201125,2026-04-25T04:57:43.374312
123072.SZ,乐歌转债,300729.SZ,乐歌股份,142000000,141782800.0,32.91,20201021,20261021,20201110,2026-04-25T04:57:43.374312
113605.SH,大参转债,603233.SH,大参林,1405000000,1404635000.0,17.35,20201022,20261022,20201113,2026-04-25T04:57:43.374312
110076.SH,华海转债,600521.SH,华海药业,1842600000,1842382000.0,33.06,20201102,20261102,20201125,2026-04-25T04:57:43.374312
128136.SZ,立讯转债,002475.SZ,立讯精密,3000000000,2998287200.0,55.97,20201103,20261103,20201202,2026-04-25T04:57:43.374312
127024.SZ,盈峰转债,000967.SZ,盈峰环境,1476189600,948937700.0,7.67,20201104,20261104,20201202,2026-04-25T04:57:43.374312
128137.SZ,洁美转债,002859.SZ,洁美科技,600000000,590897200.0,26.46,20201104,20261104,20201201,2026-04-25T04:57:43.374312
127025.SZ,冀东转债,000401.SZ,金隅冀东,2820000000,1776401500.0,13.01,20201105,20261105,20201202,2026-04-25T04:57:43.374312
