bond_id,name,meeting_date,before_price,after_price,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48,T+49,T+50,T+51,T+52,T+53,T+54,T+55,T+56,T+57,T+58,T+59,T+60
111019,宏柏转债,2024-08-06,7.530,5.450,103.71,105.56,107.39,105.69,105.02,106.4,106.06,105.67,103.26,105.66,104.04,104.57,103.98,102.22,104.07,102.86,103.9,104.62,106.73,106.65,105.93,106.64,107.01,106.16,105.66,104.8,104.97,104.07,102.57,100.96,103.21,102.07,101.71,105.45,106.83,108.4,112.0,117.68,122.08,116.04,115.17,118.09,122.67,117.3,118.66,118.67,120.75,120.89,121.47,121.53,123.07,124.17,123.45,120.11,119.67,119.5,117.18,117.85,118.85,118.41,119.6
123240,楚天转债,2024-10-31,8.050,8.000,108.77,106.5,107.39,111.05,111.37,115.0,113.8,117.5,116.41,115.49,112.27,111.85,110.4,111.48,113.35,113.32,112.58,111.9,112.42,112.8,115.37,116.65,117.47,116.58,114.58,117.9,118.83,118.52,119.2,121.5,122.3,121.3,118.38,115.2,115.6,114.26,115.48,113.15,113.54,113.0,113.0,114.06,114.29,113.0,110.66,111.5,111.99,112.85,112.64,113.84,112.39,111.8,112.61,114.5,113.34,113.75,114.9,115.5,114.45,114.62,115.2
123240,楚天转债,2024-06-25,10.000,8.150,114.16,116.76,116.03,115.64,116.6,116.69,114.33,112.79,114.03,109.92,110.65,110.78,111.5,110.9,109.85,109.61,109.5,109.74,109.68,109.35,107.64,105.31,106.04,107.72,108.0,107.5,110.0,109.9,110.52,108.81,110.63,110.2,110.0,109.8,108.16,107.6,106.5,107.4,106.22,106.47,102.9,103.09,100.83,97.36,97.75,98.4,95.0,97.0,102.66,100.55,100.48,100.4,102.45,102.5,101.49,99.2,98.33,97.7,97.48,95.81,96.29
123237,佳禾转债,2024-07-15,21.600,13.580,109.55,109.9,108.54,106.23,109.45,107.48,106.12,104.97,104.89,107.03,108.07,107.2,109.6,109.75,108.2,106.04,106.29,106.0,106.31,106.5,105.94,106.11,108.5,106.87,107.19,107.26,104.34,104.24,102.35,103.34,106.49,103.84,105.06,107.25,110.06,108.08,108.2,107.0,107.8,107.6,107.09,106.32,105.6,104.65,103.8,102.76,104.58,104.32,103.73,107.13,108.8,110.67,112.64,118.5,130.0,121.12,122.2,118.99,118.5,117.49,125.26
123236,家联转债,2025-05-16,18.490,15.330,119.8,121.0,122.18,121.34,119.85,120.2,119.59,118.79,118.53,119.47,118.64,119.5,120.24,120.91,121.1,121.8,120.97,122.11,121.58,120.76,123.2,122.5,121.92,120.29,119.62,120.43,121.46,122.0,121.67,122.06,122.65,122.66,123.92,124.8,123.93,135.2,130.0,132.54,130.3,130.3,131.09,129.8,131.28,133.06,134.5,134.6,133.72,132.99,137.71,137.48,135.44,136.15,135.43,134.24,134.05,138.2,141.8,141.3,139.6,140.68,143.19
123238,卡倍转02,2024-03-27,49.010,41.430,161.0,164.0,155.0,150.3,146.33,139.01,147.0,141.1,139.92,141.7,136.0,129.97,133.45,134.32,139.86,145.16,141.8,163.0,157.3,149.0,145.0,154.0,154.0,162.4,153.9,156.02,152.7,153.62,154.79,154.4,152.4,156.33,153.0,154.33,151.69,150.88,149.48,151.5,149.4,143.71,172.45,183.2,195.0,177.5,162.89,172.5,161.0,166.5,163.22,162.6,190.0,172.5,174.0,173.0,171.45,173.0,166.58,172.0,173.52,169.8,164.0
127099,盛航转债,2024-09-09,19.110,15.600,111.04,113.95,114.01,113.67,111.69,109.59,112.4,111.7,112.37,118.0,118.51,119.94,120.05,124.3,124.56,119.53,119.83,118.1,121.41,119.4,120.22,121.6,123.0,125.0,127.24,133.4,135.89,137.34,138.1,140.55,151.01,141.38,136.4,132.5,135.91,138.4,144.2,144.0,146.0,142.59,144.42,145.19,140.8,127.71,133.6,136.07,141.85,133.1,128.2,130.1,130.76,127.97,129.0,129.5,128.35,126.13,128.69,131.56,129.51,128.95,128.25
123234,中能转债,2024-09-30,6.400,5.500,116.27,125.84,116.72,116.76,110.02,113.14,112.52,112.16,112.09,113.98,115.87,117.45,117.18,116.6,118.03,116.77,114.8,113.18,114.72,112.17,113.3,114.74,114.66,117.1,116.07,119.11,119.0,121.0,119.66,118.49,114.99,116.76,118.13,118.12,115.74,116.5,114.8,115.76,116.12,117.29,120.4,120.0,119.12,121.41,121.1,120.8,122.2,123.47,125.1,123.4,121.41,119.05,120.2,120.3,123.4,120.05,122.22,120.01,120.64,124.04,123.9
127098,欧晶转债,2024-10-11,44.710,42.000,105.4,100.92,101.0,100.48,100.15,101.5,102.69,103.0,106.6,103.82,105.85,107.1,104.7,103.42,106.0,104.6,104.7,105.46,105.21,105.9,105.54,107.07,106.09,106.82,104.51,103.0,100.82,105.4,104.9,108.27,106.26,105.63,104.56,105.5,107.12,107.85,108.9,108.5,106.1,106.8,106.84,107.03,107.2,108.6,110.28,108.7,107.65,107.6,108.1,107.39,107.88,107.11,109.55,108.59,109.61,109.61,109.04,107.87,106.35,105.97,106.22
123230,金钟转债,2024-11-07,28.880,24.500,119.6,118.37,119.99,119.8,118.48,117.0,115.1,112.47,114.6,115.67,115.97,113.45,114.0,113.31,113.89,114.5,115.7,117.13,118.2,117.5,119.12,119.16,119.19,119.27,120.55,122.9,121.07,119.05,116.88,118.36,118.14,120.29,117.63,118.18,116.96,118.39,118.61,117.78,116.6,115.4,114.2,113.27,115.14,114.6,115.3,114.68,114.78,116.8,116.6,115.86,116.0,117.99,118.0,117.36,117.3,118.3,117.6,117.8,119.62,121.8,122.43
